Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
110001 ALTA FLORESTA D'OESTE;725487.04;760888.27;724116.2;626269.75;626343.21;653669.39;696173.92;480319.05;668243.67;578054.15;6539564.65;;;;;;;;;;;;655725.44;679435.95;661041.07;567978.58;555378.13;556835.28;615417.71;433101.06;620282.78;578054.15;5923250.15;69761.6;81452.32;63075.13;58291.17;70965.08;96834.11;80756.21;47217.99;47960.89;;616314.5;;;;;;;;;;;;2247;2296;2270;1938;1987;2046;2230;1247;1385;1913;19559;;;;;;;;;;;;;;;;;;;;;;;2112;2132;2150;1823;1851;1857;2070;1158;1289;1913;18355;135;164;120;115;136;189;160;89;96;;1204;;;;;;;;;;;;9;8;5;6;9;12;13;18;28;20;128;0.4;0.35;0.22;0.31;0.45;0.59;0.58;1.44;2.02;1.05;0.65;5375;5508;5567;4671;4614;4940;5553;3294;3750;5047;48319
110002 ARIQUEMES;3708151.19;3463928.54;3973057.43;4382048.7;4502478.44;4342873.72;4548936.72;7196513.03;14781878.61;6742577.73;57642444.11;;171.38;;309.14;;;;;;235.95;716.47;2519684.74;2753031.35;2823744.14;3085708.92;3493415.42;3225159.85;3500282.57;6352510.77;13725458.1;5082340.4;46561336.26;1188466.45;710725.81;1149313.29;1296030.64;1009063.02;1117713.87;1048654.15;844002.26;1056420.51;1660001.38;11080391.38;;;;;;;;;;;;5505;5251;5790;6152;6364;5766;6055;5858;7575;7007;61323;;2;;1;;;;;;1;4;;2;;1;;;;;;1;4;3903;4069;4339;4361;4892;4226;4724;4757;6241;4966;46478;1602;1180;1451;1790;1472;1540;1331;1101;1334;2040;14841;;;;;;;;;;;;148;135;137;204;164;171;172;257;647;226;2261;2.69;2.57;2.37;3.32;2.58;2.97;2.84;4.39;8.54;3.23;3.69;16292;14364;15934;16348;17580;15801;17258;16476;24510;20054;174617
110003 CABIXI;89864.83;89403.87;92187.84;100223.63;97387.75;80628.43;86190.75;76497.19;144919.85;67574.87;924879.01;;;;;;;;;;;;75765.58;89403.87;92187.84;100223.63;97387.75;80628.43;86190.75;76497.19;144919.85;67574.87;910779.76;14099.25;;;;;;;;;;14099.25;;;;;;;;;;;;287;282;300;304;291;266;285;236;195;181;2627;;;;;;;;;;;;;;;;;;;;;;;262;282;300;304;291;266;285;236;195;181;2602;25;;;;;;;;;;25;;;;;;;;;;;;1;;;;1;3;1;7;1;4;18;0.35;;;;0.34;1.13;0.35;2.97;0.51;2.21;0.69;682;646;718;751;739;717;778;689;627;618;6965
110004 CACOAL;5081347.01;7392914.64;7533927.08;9580907.92;10054183.76;11246364.82;11603201.67;8557084.62;11156551.85;11189325.43;93395808.8;377.04;188.78;564.73;503.34;1373.04;4249.79;3892.93;4051.99;250.09;2183.91;17635.64;2644858.62;4064096.49;3899466.22;4945114.76;4811792.24;5629442.59;5349856.8;4052462.98;7149263.33;6446836.77;48993190.8;2436111.35;3328629.37;3633896.13;4631963.93;5234621.22;5582933.35;6215846.6;4486729.65;3930680.42;4702013.23;44183425.25;;;;3325.89;6397.26;29739.09;33605.34;13840;76358.01;38291.52;201557.11;10187;10793;10174;11740;12314;13571;13272;9829;10506;12836;115222;2;1;3;3;6;11;10;10;1;9;56;2;1;3;3;6;11;10;10;1;9;56;6671;7045;6490;7247;7530;8413;7803;5583;6105;7702;70589;3514;3747;3681;4487;4772;5119;5429;4223;4354;5097;44423;;;;3;6;28;30;13;46;28;154;354;387;474;868;917;800;726;600;607;577;6310;3.48;3.59;4.66;7.39;7.45;5.89;5.47;6.1;5.78;4.5;5.48;53924;53025;58399;67645;70190;77004;75790;53225;50888;68025;628115
110005 CEREJEIRAS;522643.32;491123.65;565965.05;483308.62;446184.84;460198.78;353857.08;286911.49;474608.34;435512.87;4520314.04;;;;;;;;;;;;374735.57;380258.06;468259.28;433748.31;398784.97;405918.97;323826.58;204499.08;378160.14;314831.73;3683022.69;147907.75;110865.59;97705.77;49560.31;47399.87;54279.81;30030.5;82412.41;96448.2;120681.14;837291.35;;;;;;;;;;;;1547;1368;1482;1318;1161;1200;999;756;777;1013;11621;;;;;;;;;;;;;;;;;;;;;;;1273;1167;1315;1234;1080;1109;949;613;611;820;10171;274;201;167;84;81;91;50;143;166;193;1450;;;;;;;;;;;;1;5;6;2;5;6;6;6;19;8;64;0.06;0.37;0.4;0.15;0.43;0.5;0.6;0.79;2.45;0.79;0.55;4169;4154;4319;4014;3986;4084;3423;2399;2567;3196;36311
110006 COLORADO DO OESTE;325078.21;306163.93;232823.31;218079.84;292923.87;264368.42;423628.29;218951.21;322547.31;272327.07;2876891.46;;;;;;;;;;;;261669.47;209468.65;232823.31;218079.84;292923.87;264188.8;423628.29;218951.21;322547.31;272327.07;2716607.82;63408.74;96695.28;;;;179.62;;;;;160283.64;;;;;;;;;;;;890;815;673;655;803;785;751;404;363;438;6577;;;;;;;;;;;;;;;;;;;;;;;759;623;673;655;803;784;751;404;363;438;6253;131;192;;;;1;;;;;324;;;;;;;;;;;;2;3;10;4;12;17;14;11;15;11;99;0.22;0.37;1.49;0.61;1.49;2.17;1.86;2.72;4.13;2.51;1.51;2736;2456;2795;2417;2699;2783;2497;1583;1948;1810;23724
110007 CORUMBIARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110008 COSTA MARQUES;51545.52;209932.96;55086.19;70431.22;123706.12;186081.3;121080.82;59412.47;65686.12;99963.43;1042926.15;;;;;;;;;;;;51545.52;201997.49;53449;70431.22;123706.12;186081.3;121080.82;59412.47;65686.12;99963.43;1033353.49;;7935.47;1637.19;;;;;;;;9572.66;;;;;;;;;;;;153;649;198;210;389;595;404;203;182;311;3294;;;;;;;;;;;;;;;;;;;;;;;153;636;195;210;389;595;404;203;182;311;3278;;13;3;;;;;;;;16;;;;;;;;;;;;1;;3;;;9;;3;6;5;27;0.65;;1.52;;;1.51;;1.48;3.3;1.61;0.82;335;1536;412;482;983;1513;805;504;659;815;8044
110009 ESPIGAO D'OESTE;470721.42;413204.14;460115.79;494452.79;520419.77;674577.39;757458.1;515591;569360.52;603482.22;5479383.14;;;;;;;;;;;;424556.93;382232.42;409463.96;355132.75;414212.11;555285.16;592208.19;429898.02;522129.61;536865.98;4621985.13;46164.49;30971.72;50651.83;139320.04;106207.66;119292.23;165249.91;85692.98;47230.91;66616.24;857398.01;;;;;;;;;;;;1839;1385;1344;1371;1524;2066;2153;1397;1165;1550;15794;;;;;;;;;;;;;;;;;;;;;;;1741;1317;1242;1106;1313;1832;1862;1245;1078;1436;14172;98;68;102;265;211;234;291;152;87;114;1622;;;;;;;;;;;;27;45;18;22;33;29;31;36;27;31;299;1.47;3.25;1.34;1.6;2.17;1.4;1.44;2.58;2.32;2;1.89;5068;4455;4593;4428;4899;6304;6289;3245;2711;3741;45733
110010 GUAJARAMIRIM;1153345.13;1219205.48;1228989.72;1059436.98;1433448.39;1374973.3;1250554.28;1408957.99;1566003.38;1525656.83;13220571.48;;;;;;;;;;;;974391.6;1020492.79;1032344.76;875398.66;1113761.33;1087701.57;993436.02;1074786.26;1242027.83;1192017.42;10606358.24;178953.53;198712.69;196644.96;184038.32;319687.06;287271.73;257118.26;334171.73;323975.55;333639.41;2614213.24;;;;;;;;;;;;2991;3176;3125;2737;3575;3333;3068;2782;3023;3628;31438;;;;;;;;;;;;;;;;;;;;;;;2588;2752;2694;2344;2938;2783;2553;2156;2406;3001;26215;403;424;431;393;637;550;515;626;617;627;5223;;;;;;;;;;;;32;45;31;24;18;24;13;31;49;18;285;1.07;1.42;0.99;0.88;0.5;0.72;0.42;1.11;1.62;0.5;0.91;9025;9383;9102;8331;11186;10988;10091;8694;9575;10716;97091
