 Procedimentos hospitalares do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valor total por Município e Ano/mês processamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:2013-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;Total
110001 ALTA FLORESTA D'OESTE;54296.2;60965.89;64765.53;60049.78;58470.43;58904.72;60636.2;61192.05;63146.1;63187.84;62828.59;57043.71;57918.58;57582.92;68826.79;54104.83;54034.63;53858.8;69334.44;62798.79;69571;84151.28;63079.51;65626.7;55148.28;65150.37;62918.35;63866.72;57196.25;61325.12;63258.17;53666.89;59859.39;60342.98;64081.57;57302.11;59980.09;53153.46;59635.97;68504.59;61194.38;47351.64;56595.7;39711.68;53196.28;57794.39;32036.19;37115.38;40911.88;34265.6;57646.73;54524.49;51026.77;52739.71;57819.89;63688.04;50702.02;52670.07;52316.77;58031.24;45582.53;42264.51;56190.93;57756.72;64442.59;54452.2;60298.91;56218;48924.35;51197.16;60808.93;55532.56;41393.52;43317.89;73338.43;65419.39;66829.16;67588.88;69835.04;68974.03;54726.33;53857.47;49009.86;41883.92;36130.46;34063.92;38244.89;31136.06;27748.08;19925.99;47051.03;63285.94;63114.74;41721.02;30018.36;47878.56;91689.91;49087.84;75404.08;97901.31;61999.7;59713.36;37611.64;45599.33;25432.19;36487.72;40009.48;47307.11;47846.93;57976.15;43401.06;43426.5;42682.45;51087.54;51620.61;35400.78;35484.65;43707.12;55265.43;70154.93;6539564.65
110002 ARIQUEMES;314442.36;229309.02;363374.06;319475.97;329931.82;265113.6;307992.87;401918;218744.87;272674.14;373792.03;311382.45;165365.3;343807.14;262113.91;294083.1;320570.04;290966.8;271486.02;286809.92;264769.66;192383.9;445675.16;325897.59;295924.54;284358.22;304138.21;397224.42;367164.78;402626.7;455717.01;285027.81;325429.36;356647.17;246241.67;252557.54;368717.35;254166.07;371323.57;366574.87;335988.4;373584.01;444090.62;277698.94;462069.31;429732.05;348212.04;349891.47;351791.11;320388.31;437949.25;409107.27;401730.8;394144.91;366187.21;384032.03;359157.23;375496.43;360518.85;341975.04;318289.43;328985.07;372754.87;355390.91;384283.77;354675.62;343383.88;390804;363808.77;415932.73;354117.43;360447.24;348305.29;338095.92;363500.58;420896.75;454105.91;355426.82;351988.43;343097.1;345129.93;395629.22;392628.89;440131.88;352843.65;361090.16;353392.79;338527.05;468884.74;665625.07;745538.98;749324.14;706206.49;548527.17;627631.37;1278921.42;1211960.1;1152153.24;1773096.4;1772003.85;1824808.31;1198549.88;1318608.65;866973.73;898842.53;528980.44;1085884.28;1150017.2;803170.75;859525.47;704134.91;518379.37;520401.21;472279.77;517816.6;439836.82;498239.43;492509.92;443911.64;472371.84;57642444.11
110003 CABIXI;9001.16;7674.2;7712.9;6845.91;6781.59;6903.89;7724.15;8907.74;7500.72;6457.38;6973.18;7382.01;7367.44;5941.34;7759.3;7064.06;7900.86;8523.7;7072.34;6918.78;7899.1;6735;7080.33;9141.62;7947.31;7063.56;6803.8;7065.7;7791.1;7729.34;7336.15;7954.8;7435.46;8230.52;8796.12;8033.98;8253.78;8124.41;7696.97;8886.12;9147.39;9035.32;9824.96;5711.64;8852.5;8972.72;8116.28;7601.54;8833.5;9301.62;8123.22;9631.89;9373.45;10004.14;8900.05;7448.28;8091.98;6664.68;3947.78;7067.16;6844.62;6084.56;7778.62;7942.83;8286.14;5110.13;8061.92;6152.92;4437.57;6063.07;6290.55;7575.5;6077.97;4776.32;7786.81;7461.31;7696.19;7879.33;8680.27;7105.51;7704.98;8908.01;4669.33;7444.72;7731;7777.28;6835.25;8605.26;8603.05;7437.32;6537.04;4708.2;2871.72;4022.67;2907.83;8460.57;28343.14;19575.62;10375.3;13703.03;14841.95;23790.11;10614.72;6293.52;4313.45;5998.75;3899.52;3170.74;4300.51;6233.24;7923.93;3326.04;4454.34;3995.22;6247;7223.19;5521.07;6243.29;6999.95;5107.09;924879.01
110004 CACOAL;255876.64;299198.37;359003.89;355762;364587.3;374006.55;398416.71;380448.62;431110.07;637510.13;621812.45;603614.28;600517.97;755979.17;601480.13;670611.41;615830.27;796055.28;711526.68;611793.65;724492.81;614554.96;518948.12;171124.19;760885.43;760909.03;555981.3;449928.41;763235.64;721784.73;602178.47;571720.29;682001.6;615914.49;656770;392617.69;1020023.88;852633.72;769383.38;660435.19;695666.21;860198.72;739407.02;846229.01;733043.97;587094.13;1052439.88;764352.81;644381.89;782647.49;594744.53;895635.15;758625.01;857632.81;974360.48;680789.88;1231261.13;1228639.31;780514.56;624951.52;724310.26;954934.85;1099936.73;812511.15;808420.42;845695.19;830762.55;930083.01;1207330.08;977963.59;1111253.27;943163.72;1047683.45;747470.53;820527.67;1021000.01;988665.96;1092644.21;965095.67;869147.63;1189681.22;1087445.59;932369.79;841469.94;947158.4;706361.9;880921.39;763263.77;860487.59;862317.4;707829.5;729183.06;515244.89;569317.67;423843.66;591155.39;337440.29;535145.72;494635.06;746359.79;1152931.18;1547038.36;1195645.54;1394880.98;1084507.95;776626.69;1014181.58;877158.71;926136.69;1709647.84;1460872.63;1201314.54;615367.14;847879.14;685349.44;906850.17;739106.68;650801.74;805428.92;640570.5;93395808.8
110005 CEREJEIRAS;44450.08;53261.84;50449.2;51282.47;49936.93;47915.65;33163.77;27581.86;39750.61;44434.58;37090.39;43325.94;46793.21;40848.14;32536.11;37162.09;38341.89;38060.58;46218.23;46217.15;34443.8;34998.76;46802.41;48701.28;35341.48;41534.63;51336.9;63845.78;54966.28;42618.43;46869.69;38618.56;42957.74;49223.99;46296.07;52355.5;42727.33;44898.48;42160.17;48768.15;33384.69;39686.96;44562.86;37268.97;41441.04;34990.42;32455.56;40963.99;35839.29;37256.94;56713.46;29671.81;33577.94;36279.23;36040.02;36532.2;38155.53;35583.38;39828.31;30706.73;35271.29;29592.26;34560.54;47812.08;37890.86;48151.6;51329.02;37658.21;39499.9;35739.9;37362.86;25330.26;16607.38;18519.13;25728.94;38661.15;40831.71;43563.55;25787.1;25534.59;19498.44;33023.59;34443.38;31658.12;37152.45;31674.5;28135.75;26938.28;24015.21;20983.62;20452.22;22440.52;19187.2;17190.62;23022.67;15718.45;44943.61;21153.65;60392.39;75930.55;51106.21;33862.26;22196.65;32681.55;39355.1;35450.01;31666.31;25870.05;35556.47;28147.23;35680.65;31546;34898.05;31431.73;38674.95;44759.29;41989.53;43705.76;38040.9;31082.31;4520314.04
110006 COLORADO DO OESTE;18726.77;37922.37;33600.12;22162.37;25747.19;25448.3;33889.4;30680.48;20023.21;33022.98;19092.16;24762.86;14382.77;32035.78;33449.99;26348.35;46918.95;28944.28;32487.52;21407.02;15365.7;13417.84;19493.39;21912.34;17064.16;15753.41;25733.35;32367.5;22359.9;17271.05;12495.79;23547.97;16387.08;19145.58;16216.89;14480.63;20061.1;21456.54;22594.58;20906.51;181.99;11752.71;4717.96;19507.8;28645.92;23267.9;22252.64;22734.19;31667.6;25083.4;33202.75;24415.98;18084.26;20026.69;25884.27;21341.52;28100.61;21927.76;21710.96;21478.07;17301.71;19853.6;24294.56;22792.82;20270.65;27628.2;39140.78;26462.68;22234.29;15982.5;17082.49;11324.14;18026.12;28003.62;48595.3;33881.47;50462.45;37190.74;36839.56;28435.04;43014.67;46321.89;33026.42;19831.01;23624.15;21065.27;25521.77;12881.22;15238.25;10086.61;16628.4;20189.29;21382.56;17703.02;16284.89;18345.78;31393.99;18132.42;26404.87;31659.18;40589.27;44784.84;38265.13;26181.89;17295.08;11783.14;14907.59;21149.91;15453.53;26436.77;19451.38;18225.71;23416.41;25727.99;24211.42;17045.06;13566.47;19308.02;34004.03;35480.28;2876891.46
110008 COSTA MARQUES;14484.95;17570.54;19490.03;;;;;;;;;;9647.7;8636.64;13384.51;22628.77;16992.06;21150.83;18426.38;12389.96;21657.24;26669.68;27751.85;10597.34;16246.77;13458.26;12654.06;12727.1;;;;;;;;;;;;;;9344.02;6672.82;11582.42;8229.76;12941.31;16431.03;5229.86;5022;9075.53;7031.38;10830.35;9883.23;8170.66;8643.62;6230.11;14596.38;12413.01;14940.69;16869.16;14690.34;9523.07;24201.69;109.24;17864.21;18039.62;17414.1;13454.06;17659.09;20827.8;16686.27;15611.81;7157.73;15177.62;10225.1;13746.84;5410.71;5394.89;6368.04;3822.56;11873.78;13246.59;15150.22;13506.74;4936.19;6656.93;9749.37;6594.96;4092.79;2781.93;6742.68;7640.46;1264.31;2230.75;5763.57;958.53;1442.61;3374.19;961.74;5285.65;9997.9;10545.61;8538.72;5436.26;4299.65;4680.62;2742.22;8380.95;5611.3;11794.11;6081.56;10724.87;7872.11;2733.63;9499.47;5368.39;12706.74;10667.01;9526.78;7377.46;1042926.15
110009 ESPIGAO D'OESTE;28544.11;37385.53;45851.11;47295.57;37120.77;42878.95;40644.36;37112.93;44033.65;38291.8;36522.33;35040.31;28353.29;29284.25;31868.49;32875.22;34048.15;35500.6;36171.95;29898.95;33933.6;38936.22;43946.9;38386.52;36228.43;39694.14;31511.5;28705.54;40422.5;36442.47;37574.67;42011.22;43707.7;44701.4;38871.06;40245.16;37957.63;38697.31;38727.95;49705.89;46493.6;45060.73;40978.56;38157.8;40431.44;36913.23;44529.86;36798.79;40759.16;31490.46;55266.61;48105.01;46906.11;52110.61;37528.85;38002.5;40766.9;43313.28;41878.35;44291.93;45731.04;41405.86;59975.27;46419.33;60235.81;64559.45;46065.96;62824.8;64352.61;55388.81;73263.16;54355.29;53689.28;41503.63;63966.24;61339.95;63790.38;74414.37;56435.67;66175.32;65972.95;75888.24;70275.99;64006.08;91057.88;63324.26;47670.71;47651.52;34160.6;30321.5;27266.35;32871.15;28153.51;40878.09;38723.84;33511.59;41619.14;33579.99;57443.07;48484.1;43044.61;42318.39;82908.7;43267.97;41317.69;41954.96;38102.93;55318.97;69796.27;63474.38;60973.9;57388.58;61308.84;63680.38;54426.23;40946.68;47849.69;31363.09;28457.95;23816.23;5479383.14
110010 GUAJARA-MIRIM;86546.46;97214.65;114847.03;103034.55;96482.11;92941.2;83306.84;102764.93;104635.14;74112.83;97653;99806.39;95575.22;97657.51;79817.44;95822.88;105928.86;106064.53;110730.97;101007.45;100190.26;110350.89;107265.15;108794.32;86444.6;89482.26;97044.48;118647.76;112825.82;101750.08;108437.38;87812.3;94264.46;105094.58;111733.73;115452.27;89673.78;92478;93898.19;16767.51;71237.66;119574.4;93789.54;102876.17;86279.02;88763.13;98757.26;105342.32;115563.78;121275.16;135776.43;134609.69;116595.88;128956.01;107072.07;120458.16;106924.76;112757.6;123368.47;110090.38;118282.9;107681.86;128331.92;137021.61;108113.42;123008.24;123735.67;114286.32;110295.23;107672.49;97900.92;98642.72;90656.96;102317.38;120288.78;110650.14;92560.73;105987.88;97283.36;109973.39;110257.15;109664.97;93867.62;107045.92;112088.43;89253.34;93973.41;85161.67;108900.1;181706.41;181546.68;126127.73;98072.1;121821.99;113639.03;96667.1;136515.22;141309.42;215268.59;162217.87;158537.15;120400.22;118873.51;109359.9;99390.77;109955.18;91559.61;102615.94;105845.79;120008.58;129080.46;146813.09;147615.48;148556.04;126709.73;119541.76;122225.92;115218.46;117693.41;126348.11;13220571.48
110011 JARU;46164.08;61513.04;94122.78;91607.73;83120.7;88964.39;92213.08;88950.65;95289.47;87785.93;87764.16;68352.88;72371.48;79317.22;50026.96;47260.38;45222.01;54632.14;60287.56;60793.34;58629.85;62189.19;57149.74;64081.32;64924.53;66938.01;68510.62;66095.43;70176.96;72624.55;48634.84;62315.09;57562.77;79495.18;71024.22;70309.73;76077.89;71051.33;97948.48;117804.48;112686.19;107609.65;91937.31;93372;79370.98;67605.16;73066.83;67842.32;67712.27;78047.45;116305.69;99921.13;118833.37;73532.96;60130.36;71167.65;52230.09;53844.64;63365.12;83324.95;99658.17;104338.69;134036.64;123259.69;141635.5;118440.22;123307.22;128599.41;124386.13;103534.46;104136.99;112885.04;113688.12;106568.04;133902.24;135748.32;143081.02;128660.76;125995.5;118415.5;112618.74;118894.81;125009.69;117394.56;103076.16;122857.91;108282.93;74550;77772.01;204321.47;313787.16;199068.88;218743.47;219576.89;109509.1;138599.03;179344.89;246992.71;656029.19;486813.14;481403.86;325487.89;300534.84;313265.92;143371.84;264572.89;163952.76;276836.8;264735.73;236214.92;142477.92;162680.39;222285.17;182656.07;120957.37;103302.27;152329.8;153895.69;126945.71;114063.16;15100701.71
