municipio,valor_2013,valor_2014,valor_2015,valor_2016,valor_2017,valor_2018,valor_2019,valor_2020,valor_2021,valor_2022,mortalidade_2013,mortalidade_2014,mortalidade_2015,mortalidade_2016,mortalidade_2017,mortalidade_2018,mortalidade_2019,mortalidade_2020,mortalidade_2021,mortalidade_2022,cod_ibge,Cod_UF,UF,regiao
alta floresta d'oeste,725487.04,760888.27,724116.2,626269.75,626343.21,653669.39,696173.92,480319.05,668243.67,578054.15,0.4,0.35,0.22,0.31,0.45,0.59,0.58,1.44,2.02,1.05,110001,11,RO,Norte
ariquemes,3708151.19,3463928.54,3973057.43,4382048.7,4502478.44,4342873.72,4548936.72,7196513.03,14781878.61,6742577.73,2.69,2.57,2.37,3.32,2.58,2.97,2.84,4.39,8.54,3.23,110002,11,RO,Norte
cabixi,89864.83,89403.87,92187.84,100223.63,97387.75,80628.43,86190.75,76497.19,144919.85,67574.87,0.35,,,,0.34,1.13,0.35,2.97,0.51,2.21,110003,11,RO,Norte
cacoal,5081347.01,7392914.64,7533927.08,9580907.92,10054183.76,11246364.82,11603201.67,8557084.62,11156551.85,11189325.43,3.48,3.59,4.66,7.39,7.45,5.89,5.47,6.1,5.78,4.5,110004,11,RO,Norte
cerejeiras,522643.32,491123.65,565965.05,483308.62,446184.84,460198.78,353857.08,286911.49,474608.34,435512.87,0.06,0.37,0.4,0.15,0.43,0.5,0.6,0.79,2.45,0.79,110005,11,RO,Norte
colorado do oeste,325078.21,306163.93,232823.31,218079.84,292923.87,264368.42,423628.29,218951.21,322547.31,272327.07,0.22,0.37,1.49,0.61,1.49,2.17,1.86,2.72,4.13,2.51,110006,11,RO,Norte
corumbiara,,,,,,,,,,,,,,,,,,,,,110007,11,RO,Norte
costa marques,51545.52,209932.96,55086.19,70431.22,123706.12,186081.3,121080.82,59412.47,65686.12,99963.43,0.65,,1.52,,,1.51,,1.48,3.3,1.61,110008,11,RO,Norte
espigao d'oeste,470721.42,413204.14,460115.79,494452.79,520419.77,674577.39,757458.1,515591.0,569360.52,603482.22,1.47,3.25,1.34,1.6,2.17,1.4,1.44,2.58,2.32,2.0,110009,11,RO,Norte
guajaramirim,1153345.13,1219205.48,1228989.72,1059436.98,1433448.39,1374973.3,1250554.28,1408957.99,1566003.38,1525656.83,1.07,1.42,0.99,0.88,0.5,0.72,0.42,1.11,1.62,0.5,110010,11,RO,Norte
jaru,985848.89,711961.19,798611.93,1056372.62,938415.68,1418218.16,1479977.3,1890145.01,3838606.73,1982544.2,0.85,1.13,0.9,1.03,1.47,1.64,1.47,2.68,4.61,2.37,110011,11,RO,Norte
jiparana,4789071.63,4843930.92,4873525.5,4845468.07,4220213.06,4326124.44,4154410.18,3839172.46,10387107.29,8964980.29,2.86,1.81,2.05,2.52,2.89,2.87,2.27,3.58,4.95,4.18,110012,11,RO,Norte
machadinho d'oeste,537195.59,476821.48,209134.49,,358285.52,748233.49,732871.43,643059.98,715765.8,719614.4,0.21,0.47,1.08,,1.04,1.31,1.09,1.83,3.9,1.39,110013,11,RO,Norte
nova brasilandia d'oeste,507111.8,485172.02,40989.47,367114.46,307684.36,266327.76,311828.93,194248.49,459018.24,483250.94,0.65,0.9,,1.02,1.52,1.01,1.28,3.38,2.04,1.46,110014,11,RO,Norte
ouro preto do oeste,1222625.44,955888.17,1016753.23,1159460.98,1031964.43,1215315.93,1221019.77,1206281.45,1674853.7,1685383.03,1.1,1.29,1.32,1.81,2.7,1.83,2.97,1.76,1.75,1.51,110015,11,RO,Norte
pimenta bueno,508696.81,478311.75,477219.28,528794.85,730179.66,1067093.9,931316.43,1102210.85,1351369.7,1539272.18,1.49,1.53,1.1,1.23,1.22,1.25,1.38,1.86,3.14,1.44,110018,11,RO,Norte
porto velho,35960089.05,45490235.98,53574275.12,58647762.78,58962234.45,62793559.4,68737391.7,70894065.17,87102622.66,73083149.12,3.67,4.26,4.22,4.0,3.91,3.48,3.56,4.62,5.38,4.01,110020,11,RO,Norte
presidente medici,275506.57,234016.21,244300.11,235322.01,416596.03,385873.08,399477.13,268306.61,511589.87,311744.59,1.12,1.24,1.92,1.5,1.3,1.25,2.33,5.01,5.55,3.07,110025,11,RO,Norte
rio crespo,,22413.12,15474.4,,3388.67,4273.78,5376.78,3380.44,1929.66,,,,,,1.41,,0.86,1.39,,,110026,11,RO,Norte
rolim de moura,1328841.25,1576568.54,1684410.58,1013497.3,1708236.9,1494723.14,1661865.82,1304508.39,1719150.69,1304414.92,0.95,0.64,0.58,0.6,1.0,0.89,1.23,0.98,1.91,1.72,110028,11,RO,Norte
santa luzia d'oeste,269972.56,284304.22,279547.18,246665.19,222242.62,252980.21,248081.92,136482.08,238647.69,243544.79,0.65,0.66,0.65,0.67,1.11,1.27,1.65,2.35,4.35,1.8,110029,11,RO,Norte
vilhena,4330591.36,5332713.8,5381082.99,4079924.69,4618173.46,5344135.47,6036679.42,6729711.87,11126641.99,8047383.38,4.36,2.75,2.47,2.73,2.46,2.98,2.82,3.74,6.22,3.54,110030,11,RO,Norte
sao miguel do guapore,572615.85,639005.77,444218.3,525695.75,683402.04,590973.55,438468.06,586547.96,865694.42,704999.01,0.33,0.82,1.48,1.6,0.95,1.25,1.88,1.7,2.1,1.37,110032,11,RO,Norte
nova mamore,348484.14,256726.05,119364.87,100795.33,123344.45,137255.89,178142.04,250982.59,419656.31,439341.1,0.43,0.28,1.19,1.14,0.94,1.79,1.13,1.89,4.36,1.26,110033,11,RO,Norte
alvorada d'oeste,264660.45,182906.56,139138.37,150930.21,179733.93,210702.35,167355.11,96707.73,150949.24,326459.43,,,,,,,,,,,110034,11,RO,Norte
alto alegre dos parecis,119589.08,116783.86,149785.11,174182.28,190399.87,122482.11,121618.02,123692.17,340150.96,229567.01,,,,,,,,1.23,0.35,,110037,11,RO,Norte
alto paraiso,128637.78,111234.49,94439.25,94168.15,129443.66,117265.94,142301.54,130504.45,180173.38,115441.33,,0.26,,0.62,0.74,0.63,0.62,0.6,1.53,0.33,110040,11,RO,Norte
buritis,384470.17,420890.06,246217.8,285806.42,194714.85,276116.45,352997.15,426859.98,702415.16,547470.22,0.94,1.37,0.91,2.02,2.41,0.96,1.62,2.8,4.43,3.35,110045,11,RO,Norte
novo horizonte do oeste,135724.32,178890.74,120876.47,75017.17,113883.69,113266.95,184090.05,88082.66,219667.94,242781.28,,0.32,0.38,0.49,1.02,0.54,1.16,1.94,5.9,1.44,110050,11,RO,Norte
cacaulandia,32567.06,26038.87,26240.24,19258.03,13370.71,14813.22,17964.66,10171.25,96162.56,41492.38,,,,,,,,,,,110060,11,RO,Norte
campo novo de rondonia,229161.05,179565.52,93988.59,92991.13,90668.16,124883.77,84849.61,30918.39,21133.18,34566.33,,0.19,,,,,1.26,1.49,3.33,3.03,110070,11,RO,Norte
candeias do jamari,,,,,,,,,,9711.79,,,,,,,,,,,110080,11,RO,Norte
castanheiras,,,,,,,,,,,,,,,,,,,,,110090,11,RO,Norte
chupinguaia,,,,,,,,,,,,,,,,,,,,,110092,11,RO,Norte
cujubim,,,22857.19,60782.28,324654.21,269921.69,167048.01,101474.25,404636.46,205593.32,,,,,0.1,,,,1.68,3.22,110094,11,RO,Norte
governador jorge teixeira,68942.82,91426.35,61681.26,46915.97,6813.44,,,,,21747.38,0.62,0.56,0.47,,,,,,,,110100,11,RO,Norte
itapua do oeste,,,,,26172.1,12051.4,,7676.22,46785.88,15621.23,,,,,,,,5.0,,,110110,11,RO,Norte
ministro andreazza,174066.5,140252.99,102497.82,73288.0,78039.44,45520.31,49323.13,31442.96,71240.72,65463.25,0.21,,,,,,,1.02,,2.45,110120,11,RO,Norte
mirante da serra,310165.34,288505.19,145019.3,112095.65,177238.66,120115.15,114039.29,101072.6,140301.09,247749.72,0.11,,,0.29,0.18,0.65,2.19,1.8,4.48,1.41,110130,11,RO,Norte
monte negro,411812.72,254829.39,12605.94,,53079.9,200649.17,216004.25,114955.98,212984.39,154241.05,0.68,0.72,,,,,0.2,1.23,4.83,2.99,110140,11,RO,Norte
nova uniao,41876.86,51833.01,48712.06,31286.32,24943.9,28582.96,32764.16,19273.8,151116.51,46416.6,,,,,,,,,,,110143,11,RO,Norte
parecis,10092.86,10669.24,10448.14,10664.67,10766.83,10846.13,10840.03,10765.3,9423.45,58786.06,,0.42,,,,,0.42,,0.48,0.41,110145,11,RO,Norte
pimenteiras do oeste,26693.51,13379.12,11765.05,31894.33,38081.41,40782.77,35186.79,34540.62,14340.28,25192.77,,,,0.84,,,,,,,110146,11,RO,Norte
primavera de rondonia,,,,,,,,,,,,,,,,,,,,,110147,11,RO,Norte
sao felipe d'oeste,,,,,,,,,,,,,,,,,,,,,110148,11,RO,Norte
sao francisco do guapore,79181.09,474381.97,431008.32,508177.69,724284.88,655033.55,636427.53,557223.26,576972.26,445125.65,,0.38,0.33,0.34,0.74,0.82,0.75,1.72,2.81,1.52,110149,11,RO,Norte
seringueiras,101764.07,261283.89,130586.93,138110.89,216993.92,170019.94,144768.33,116448.03,256624.22,451931.05,0.34,0.25,,,0.15,0.73,0.22,0.98,1.74,0.67,110150,11,RO,Norte
teixeiropolis,41331.06,23272.65,22635.48,36713.65,15080.18,9592.25,38216.42,21429.95,56875.4,21904.88,,,,,,,,3.45,1.14,,110155,11,RO,Norte
theobroma,7481.08,16920.28,46299.02,20324.59,33312.63,61828.07,54526.4,40261.36,34761.36,39120.94,,,,,,,1.88,,,1.98,110160,11,RO,Norte
urupa,48270.17,39077.7,167316.05,97717.7,117426.45,78373.76,106109.36,54465.08,200100.15,279509.38,,,0.23,1.14,1.57,1.38,0.72,3.45,4.31,1.14,110170,11,RO,Norte
vale do anari,40323.7,35078.02,17269.97,38499.78,47118.98,32301.78,34526.25,,23919.24,49434.9,,,,,,,,,,,110175,11,RO,Norte
vale do paraiso,50870.51,43782.14,36879.14,34480.49,33417.43,47869.92,24156.86,44309.66,172358.77,65511.51,,,,,,,,,4.68,,110180,11,RO,Norte
acrelandia,76492.2,59797.38,48367.36,59370.98,22716.2,33821.53,34967.32,42107.46,25057.43,62368.79,0.5,0.58,,,1.67,,1.89,2.33,,2.84,120001,12,AC,Norte
assis brasil,81641.86,48194.27,66602.56,37097.62,54894.27,61843.32,51979.45,91339.55,119904.08,76020.17,,,,,,,0.72,0.68,,0.54,120005,12,AC,Norte
brasileia,873946.37,937942.39,882625.86,814707.81,884130.9,901664.5,812796.26,936567.56,1241142.25,1102549.85,0.17,0.21,1.06,1.1,0.98,0.86,1.25,1.77,2.33,1.64,120010,12,AC,Norte
bujari,,,,,,,,,,,,,,,,,,,,,120013,12,AC,Norte
