tipo_matriz;cod_ibge;classe_conta;conta_contabil;poder_orgao;financeiro_permanente;ano_fonte_recursos;fonte_recursos;exercicio;mes_referencia;divida_consolidada;data_referencia;entrada_msc;valor;natureza_conta;tipo_valor;complemento_fonte
MSCE;32;1;111110100;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;2;14667.39;D;ending_balance;
MSCE;32;1;111115099;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;4;500.0;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19790000;2019;12;;2019-12-31T03:00:00Z;6;7671.79;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;8;69723.95;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;12110000;2019;12;;2019-12-31T03:00:00Z;10;2679.2;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;12;253.73;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;14;0.4;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;16;20948.47;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;18;24516.58;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;20;17.11;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;22;16991.58;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;24;1000.0;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;26;17784.82;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;28;2878.68;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;30;6379.45;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19300000;2019;12;;2019-12-31T03:00:00Z;32;564357.5;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;34;120288.14;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;14100000;2019;12;;2019-12-31T03:00:00Z;36;203.51;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;38;147726.08;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;40;411564.19;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;42;103609.95;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;44;72451.09;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;46;487892.16;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;20010000;2019;12;;2019-12-31T03:00:00Z;48;3860.43;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;23900000;2019;12;;2019-12-31T03:00:00Z;50;10000.0;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29300000;2019;12;;2019-12-31T03:00:00Z;52;31.33;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;25100000;2019;12;;2019-12-31T03:00:00Z;54;1850.62;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29900000;2019;12;;2019-12-31T03:00:00Z;56;3030.92;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29200000;2019;12;;2019-12-31T03:00:00Z;58;421.37;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;60;252538.52;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;62;43828.92;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;64;372.4;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;23900000;2019;12;;2019-12-31T03:00:00Z;66;14085.0;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;20900000;2019;12;;2019-12-31T03:00:00Z;68;135921.83;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;20900000;2019;12;;2019-12-31T03:00:00Z;70;501203.3;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;72;0.01;D;ending_balance;
MSCE;32;1;111110200;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;74;7103.89;D;ending_balance;
MSCE;32;1;111110602;10112;1.0;1.0;14200000;2019;12;;2019-12-31T03:00:00Z;76;10984.32;D;ending_balance;
MSCE;32;1;111110603;10112;1.0;1.0;14100000;2019;12;;2019-12-31T03:00:00Z;78;416.4;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;80;247102.1;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;82;33289.37;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;84;234.36;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12110000;2019;12;;2019-12-31T03:00:00Z;86;61520205.43;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;11200000;2019;12;;2019-12-31T03:00:00Z;88;3392.36;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;90;99768.79;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;92;1698783.23;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;94;4019334.16;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19200000;2019;12;;2019-12-31T03:00:00Z;96;1568.59;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;12140000;2019;12;;2019-12-31T03:00:00Z;98;9635.01;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;100;272.24;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;102;173.42;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;104;20000.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;106;53824.64;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;13900000;2019;12;;2019-12-31T03:00:00Z;108;4159.51;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;110;1785182.3;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;112;3536474.27;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10900000;2019;12;;2019-12-31T03:00:00Z;114;2026215.41;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;15100000;2019;12;;2019-12-31T03:00:00Z;116;153004.46;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;19400000;2019;12;;2019-12-31T03:00:00Z;118;24000.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;20010000;2019;12;;2019-12-31T03:00:00Z;120;1.22;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;23900000;2019;12;;2019-12-31T03:00:00Z;122;26390.85;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;20900000;2019;12;;2019-12-31T03:00:00Z;124;50700.0;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;2.0;29400000;2019;12;;2019-12-31T03:00:00Z;126;496723.11;D;ending_balance;
MSCE;32;1;111111900;10111;1.0;1.0;10010000;2019;12;;2019-12-31T03:00:00Z;128;372434.31;D;ending_balance;
