,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
0,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,Nordeste,H01Q 13/10,H01Q,13/10,Telecomunicações
1,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,,,UFAM,AM,Norte,H04L 29/06,H04L,29/06,Comunicação digital
2,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS,IFPE,PE,Nordeste,G01D 3/08,G01D,3/08,Medição
3,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,Centro-Oeste,A21D 13/045,A21D,13/045,Química Alimentar
4,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,C12Q 1/68,C12Q,1/68,Biotecnologia
5,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,C12Q 1/00,C12Q,1/00,Biotecnologia
6,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C01B 39/04,C01B,39/04,"Materiais, metalurgia"
7,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,,,RJ,Sudeste,G01N 29/06,G01N,29/06,Medição
8,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23C 19/076,A23C,19/076,Química Alimentar
9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,H02S 40/32,H02S,40/32,"Máquinas elétricas, aparelhos, energia"
10,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,C01B 33/32,C01B,33/32,"Materiais, metalurgia"
11,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,Nordeste,A01M 1/04,A01M,1/04,Outras máquinas especiais
12,UNIVERSIDADE FEDERAL DA PARAIBA,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA - EMBRAPA,,UFPB,PB,Nordeste,A01N 65/40,A01N,65/40,Química de materiais básicos
13,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C08K 9/04,C08K,9/04,"Química macromolecular, polímeros"
14,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/06,A21D,13/06,Química Alimentar
15,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/066,A21D,13/066,Química Alimentar
16,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,G01D 4/00,G01D,4/00,Medição
17,INSTITUTO DE TECNOLOGIA E PESQUISA,UNIVERSIDADE TIRADENTES,UNIVERSIDADE FEDERAL DE SERGIPE,,SE,Nordeste,C12N 11/10,C12N,11/10,Biotecnologia
18,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,A61K 36/06,A61K,36/06,Produtos farmacêuticos
19,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,Norte,A61K 36/185,A61K,36/185,Produtos farmacêuticos
20,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A01M 1/04,A01M,1/04,Outras máquinas especiais
21,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,G01R 23/167,G01R,23/167,Medição
22,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,"SECRETARIA DO DESENVOLVIMENTO ECONÔMICO, CIÊNCIA E TECNOLOGIA",,UNIPAMPA,RS,Sul,C08B 37/00,C08B,37/00,"Química macromolecular, polímeros"
23,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS ? FAPEMIG,,UFMG,MG,Sudeste,C07F 1/08,C07F,1/08,Química fina orgânica
24,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,A61B 5/0488,A61B,5/0488,Tecnologia médica
25,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,B05D 5/12,B05D,5/12,"Tecnologia de superfície, revestimento"
26,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,G06K 9/20,G06K,9/20,Tecnologia computacional
27,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,Sul,A61B 6/14,A61B,6/14,Tecnologia médica
28,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - IFSULDEMINAS",,,IFSULDEMINAS,MG,Sudeste,B63B 35/00,B63B,35/00,Transporte
29,UNIVERSIDADE FEDERAL DE SERGIPE,,,UFS,SE,Nordeste,C08H 1/00,C08H,1/00,"Química macromolecular, polímeros"
30,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE SANTA MARIA - UFSM,,UFPE,PE,Nordeste,H04N 19/42,H04N,19/42,Tecnologia audiovisual
