ID,data_publicacao,diretoria,numero_revista,codigo,titulo,numero,data_deposito,data_prioridade,cod_prioridade,classif_internacion,classif_nacion,titulo_inid,titular_nome,titular_uf,titular_pais,inventor_nome,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,titular_uf2,classif_nac1,classif_nac2,classif_nac3,classif_internac1,classif_internac2,classif_internac3,inventor_1,inventor_outros
ID00003,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2017 004929-9,13/03/2017,,,H01Q 13/10; H01Q 1/24,H01Q 13/106; H01Q 1/241,"UMA NOVA ANTENA DE MICROFITA TRI-BANDA, DE TAMANHO REDUZIDO OPERANDO NAS FREQUÊNCIAS GSM, BLUETOOTH E WI-FI, COM ALTA LARGURA DE BANDA, EFICIÊNCIA E GANHO PARA APLICAÇÃO EM DISPOSITIVOS MÓVEIS",UNIVERSIDADE FEDERAL DO CEARÁ,CE,BR,ANTONIO SERGIO BEZERRA SOMBRA; RONALDO GLAUBER MAIA DE OLIVEIRA; ANTÔNIO JEFFERSON MANGUEIRA SALES; JOÃO PAULO COSTA DO NASCIMENTO,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,,H01Q 13/106,H01Q 1/241,,H01Q 13/10,H01Q 1/24,,ANTONIO SERGIO BEZERRA SOMBRA,RONALDO GLAUBER MAIA DE OLIVEIRA; ANTÔNIO JEFFERSON MANGUEIRA SALES; JOÃO PAULO COSTA DO NASCIMENTO
ID00005,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2017 026178-6,05/12/2017,,,H04L 29/06; H04L 29/12,H04L 67/42; H04L 61/1558; H04L 29/12141,BEHAVIOR DEFINITION MODEL FOR INTERNET OF THINGS ECOSYSTEMS (BDM4IOT): UM PROCESSO PARA MODELAGEM VISUAL DE COMPORTAMENTOS DE ECOSISTEMAS PARA INTERNET DAS COISAS,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,AM,BR,EDUARDO JAMES PEREIRA SOUTO; NAMEDIN PEREIRA TELES JÚNIOR,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,,,UFAM,AM,,H04L 67/42,H04L 61/1558,H04L 29/12141,H04L 29/06,H04L 29/12,,EDUARDO JAMES PEREIRA SOUTO,NAMEDIN PEREIRA TELES JÚNIOR
ID00011,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012005-0,13/06/2018,,,G01D 3/08,G01D 3/08,METODOLOGIA PARA O MONITORAMENTO DA ESTABILIDADE DE EQUIPAMENTOS COM BASE NO COEFICIENTE DE CAPABILIDADE CDL,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO; UNIVERSIDADE FEDERAL DE PERNAMBUCO; ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS",PE; PE; PE,BR; BR; BR,JOSÉ EDUARDO FERREIRA DE OLIVEIRA; NELSON GONÇALVES DA SILVA; EDUARDO JOSÉ ALÉCIO DE OLIVEIRA; MATEUS DE MELO SILVA FREITAS; APOLLO MELO DA SILVA FREITAS; DAVI ANDERSON GADELHA DE SENA; ANTÔNIO MARCOS FIGUEIREDO SOARES; CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA; ROGÉRIO PONTES DE ARAÚJO; JOÃO JOSÉ DE SOUZA MARQUES,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS,IFPE,PE,PE; PE,G01D 3/08,,,G01D 3/08,,,JOSÉ EDUARDO FERREIRA DE OLIVEIRA,NELSON GONÇALVES DA SILVA; EDUARDO JOSÉ ALÉCIO DE OLIVEIRA; MATEUS DE MELO SILVA FREITAS; APOLLO MELO DA SILVA FREITAS; DAVI ANDERSON GADELHA DE SENA; ANTÔNIO MARCOS FIGUEIREDO SOARES; CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA; ROGÉRIO PONTES DE ARAÚJO; JOÃO JOSÉ DE SOUZA MARQUES
ID00015,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012049-2,14/06/2018,,,A21D 13/045; A21D 13/047; A21D 13/066,A21D 13/045; A21D 13/047; A21D 13/066,COMPOSIÇÃO PARA ALIMENTOS SEM GLÚTEN A PARTIR DE FARINHA DE OKARA E FARELO DE MILHO E USOS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",GO,BR,RAFAIANE MACEDO GUIMARÃES; MARIANA BURANELO EGEA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,,A21D 13/045,A21D 13/047,A21D 13/066,A21D 13/045,A21D 13/047,A21D 13/066,RAFAIANE MACEDO GUIMARÃES,MARIANA BURANELO EGEA
ID00024,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012161-8,14/06/2018,,,C12Q 1/68; C12R 1/01,,MICROBIOELETRODO PARA A DETECÇÃO DA BACTÉRIA ALICYCLOBACILLUS ACIDOTERRESTRIS,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,MG,BR,ANA GRACI BRITO MADURRO; JOÃO MARCOS MADURRO; PEDRO HENRIQUE GONÇALVES GUEDES; ANNA CLARA RIOS MOÇO; JOSÉ MANUEL RODRIGUEIRO FLAUZINO,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,,,,,C12Q 1/68,C12R 1/01,,ANA GRACI BRITO MADURRO,JOÃO MARCOS MADURRO; PEDRO HENRIQUE GONÇALVES GUEDES; ANNA CLARA RIOS MOÇO; JOSÉ MANUEL RODRIGUEIRO FLAUZINO
ID00026,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012376-9,18/06/2018,,,C12Q 1/00,,BIOSSENSOR ENZIMÁTICO PARA DETECÇÃO DE ORGANOFOSFORADOS,UNIVERSIDADE FEDERAL DO MARANHÃO,MA,BR,ALLYSSON KAYRON DE CARVALHO SILVA; LAIANE ARAÚJO DA SILVA SOUTO; TALITA DA SILVA ESPÓSITO; SUZAN DINIZ SANTOS; GILVANDA SILVA NUNES; FERNANDA JENIFFER OLIVEIRA LINDOSO,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,,,,,C12Q 1/00,,,ALLYSSON KAYRON DE CARVALHO SILVA,LAIANE ARAÚJO DA SILVA SOUTO; TALITA DA SILVA ESPÓSITO; SUZAN DINIZ SANTOS; GILVANDA SILVA NUNES; FERNANDA JENIFFER OLIVEIRA LINDOSO
ID00030,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012385-8,18/06/2018,,,C01B 39/04,C01B 39/04,PROCESSO DE FABRICAÇÃO DE MATERIAIS MESOPOROSOS ÁCIDOS,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,BR,PEDRO AUGUSTO ARROYO; MURILO PEREIRA MOISÉS; ELCIANE REGINA ZANATTA,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,,C01B 39/04,,,C01B 39/04,,,PEDRO AUGUSTO ARROYO,MURILO PEREIRA MOISÉS; ELCIANE REGINA ZANATTA
ID00031,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012394-7,18/06/2018,,,G01N 29/06,G01N 29/0645,MÉTODO E SISTEMA PARA INSPEÇÃO DE JUNTAS EM TUBOS COMPÓSITOS E DE REPAROS COMPÓSITOS EM TUBULAÇÕES METÁLICAS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,RJ; RS,BR; BR,THOMAS GABRIEL ROSAURO CLARKE; SERGIO DAMASCENO SOARES; RICARDO CALLEGARI JACQUES; LÚCIO DE ABREU CORRÊA; HENRIQUE TORMEN HAAN DE OLIVEIRA; GIOVANNO FERRARI ZUGLIAN; ALBERTO BISOGNIN,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,,,RJ,RS,G01N 29/0645,,,G01N 29/06,,,THOMAS GABRIEL ROSAURO CLARKE,SERGIO DAMASCENO SOARES; RICARDO CALLEGARI JACQUES; LÚCIO DE ABREU CORRÊA; HENRIQUE TORMEN HAAN DE OLIVEIRA; GIOVANNO FERRARI ZUGLIAN; ALBERTO BISOGNIN
ID00035,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012412-9,18/06/2018,,,A23C 19/076; A23L 33/135; A23L 33/21,A23C 19/0765; A23L 33/135; A23L 33/21,QUEIJO PETIT-SUISSE CAPRINO SABOR MARACUJÁ COM POTENCIAL FUNCIONAL ADICIONADO DE L. ACIDOPHILUS E EXTRATO DE BATATA YACON,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,PB,BR,JANAINA SEVERO DE LIMA GAMA; MARIA ELIEIDY GOMES DE OLIVEIRA; ANA CRISTINA SILVEIRA MARTINS; MAYARA GABRIELLY GERMANO DE ARAÚJO; JAIELISON YANDRO PEREIRA DA SILVA; SABRINA DUARTE DE OLIVEIRA; JULIANA KÉSSIA BARBOSA SOARES; VANESSA BORDIN VIERA; LARISSA MARIA GOMES DUTRA; JÉSSICA LIMA DE MORAIS,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,,A23C 19/0765,A23L 33/135,A23L 33/21,A23C 19/076,A23L 33/135,A23L 33/21,JANAINA SEVERO DE LIMA GAMA,MARIA ELIEIDY GOMES DE OLIVEIRA; ANA CRISTINA SILVEIRA MARTINS; MAYARA GABRIELLY GERMANO DE ARAÚJO; JAIELISON YANDRO PEREIRA DA SILVA; SABRINA DUARTE DE OLIVEIRA; JULIANA KÉSSIA BARBOSA SOARES; VANESSA BORDIN VIERA; LARISSA MARIA GOMES DUTRA; JÉSSICA LIMA DE MORAIS
ID00036,07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012435-8,18/06/2018,,,H02S 40/32; G05F 1/67,,SISTEMA PARA EXTRAÇÃO DE MÁXIMA POTÊNCIA DE MÓDULOS FOTOVOLTAICOS EM DOIS ESTÁGIOS SEM UTILIZAÇÃO DE SENSORIAMENTO DO LADO CC,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,MG,BR,LUIZ CARLOS GOMES DE FREITAS; LUCAS PEREIRA PIRES; LUIZ CARLOS DE FREITAS,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,,,,,H02S 40/32,G05F 1/67,,LUIZ CARLOS GOMES DE FREITAS,LUCAS PEREIRA PIRES; LUIZ CARLOS DE FREITAS
