data_publicacao,diretoria,numero_revista,codigo,titulo,numero,data_deposito,data_prioridade,cod_prioridade,classif_internacion,classif_nacion,titulo_inid,titular_nome,titular_uf,titular_pais,inventor_nome,titular_1,titular_parceiros1,titular_parceiros2,titular_abrev,titular_uf1,titular_uf2,inventor_1,inventor_outros,classif_nac1,classif_nac2,classif_nac3,classif_internac1,classif_internac2,classif_internac3
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2017 004929-9,13/03/2017,,,H01Q 13/10; H01Q 1/24,H01Q 13/106; H01Q 1/241,"UMA NOVA ANTENA DE MICROFITA TRI-BANDA, DE TAMANHO REDUZIDO OPERANDO NAS FREQUÊNCIAS GSM, BLUETOOTH E WI-FI, COM ALTA LARGURA DE BANDA, EFICIÊNCIA E GANHO PARA APLICAÇÃO EM DISPOSITIVOS MÓVEIS",UNIVERSIDADE FEDERAL DO CEARÁ,CE,BR,ANTONIO SERGIO BEZERRA SOMBRA; RONALDO GLAUBER MAIA DE OLIVEIRA; ANTÔNIO JEFFERSON MANGUEIRA SALES; JOÃO PAULO COSTA DO NASCIMENTO,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,,ANTONIO SERGIO BEZERRA SOMBRA,RONALDO GLAUBER MAIA DE OLIVEIRA; ANTÔNIO JEFFERSON MANGUEIRA SALES; JOÃO PAULO COSTA DO NASCIMENTO,H01Q 13/106,H01Q 1/241,,H01Q 13/10,H01Q 1/24,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2017 026178-6,05/12/2017,,,H04L 29/06; H04L 29/12,H04L 67/42; H04L 61/1558; H04L 29/12141,BEHAVIOR DEFINITION MODEL FOR INTERNET OF THINGS ECOSYSTEMS (BDM4IOT): UM PROCESSO PARA MODELAGEM VISUAL DE COMPORTAMENTOS DE ECOSISTEMAS PARA INTERNET DAS COISAS,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,AM,BR,EDUARDO JAMES PEREIRA SOUTO; NAMEDIN PEREIRA TELES JÚNIOR,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,,,UFAM,AM,,EDUARDO JAMES PEREIRA SOUTO,NAMEDIN PEREIRA TELES JÚNIOR,H04L 67/42,H04L 61/1558,H04L 29/12141,H04L 29/06,H04L 29/12,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012005-0,13/06/2018,,,G01D 3/08,G01D 3/08,METODOLOGIA PARA O MONITORAMENTO DA ESTABILIDADE DE EQUIPAMENTOS COM BASE NO COEFICIENTE DE CAPABILIDADE CDL,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO; UNIVERSIDADE FEDERAL DE PERNAMBUCO; ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS",PE; PE; PE,BR; BR; BR,JOSÉ EDUARDO FERREIRA DE OLIVEIRA; NELSON GONÇALVES DA SILVA; EDUARDO JOSÉ ALÉCIO DE OLIVEIRA; MATEUS DE MELO SILVA FREITAS; APOLLO MELO DA SILVA FREITAS; DAVI ANDERSON GADELHA DE SENA; ANTÔNIO MARCOS FIGUEIREDO SOARES; CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA; ROGÉRIO PONTES DE ARAÚJO; JOÃO JOSÉ DE SOUZA MARQUES,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASSOCIAÇÃO INSTITUTO DE TECNOLOGIA DE PERNAMBUCO ? ITEP/OS,IFPE,PE,PE; PE,JOSÉ EDUARDO FERREIRA DE OLIVEIRA,NELSON GONÇALVES DA SILVA; EDUARDO JOSÉ ALÉCIO DE OLIVEIRA; MATEUS DE MELO SILVA FREITAS; APOLLO MELO DA SILVA FREITAS; DAVI ANDERSON GADELHA DE SENA; ANTÔNIO MARCOS FIGUEIREDO SOARES; CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA; ROGÉRIO PONTES DE ARAÚJO; JOÃO JOSÉ DE SOUZA MARQUES,G01D 3/08,,,G01D 3/08,,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012049-2,14/06/2018,,,A21D 13/045; A21D 13/047; A21D 13/066,A21D 13/045; A21D 13/047; A21D 13/066,COMPOSIÇÃO PARA ALIMENTOS SEM GLÚTEN A PARTIR DE FARINHA DE OKARA E FARELO DE MILHO E USOS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",GO,BR,RAFAIANE MACEDO GUIMARÃES; MARIANA BURANELO EGEA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",,,IFGOIANO,GO,,RAFAIANE MACEDO GUIMARÃES,MARIANA BURANELO EGEA,A21D 13/045,A21D 13/047,A21D 13/066,A21D 13/045,A21D 13/047,A21D 13/066
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012161-8,14/06/2018,,,C12Q 1/68; C12R 1/01,,MICROBIOELETRODO PARA A DETECÇÃO DA BACTÉRIA ALICYCLOBACILLUS ACIDOTERRESTRIS,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,MG,BR,ANA GRACI BRITO MADURRO; JOÃO MARCOS MADURRO; PEDRO HENRIQUE GONÇALVES GUEDES; ANNA CLARA RIOS MOÇO; JOSÉ MANUEL RODRIGUEIRO FLAUZINO,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,,ANA GRACI BRITO MADURRO,JOÃO MARCOS MADURRO; PEDRO HENRIQUE GONÇALVES GUEDES; ANNA CLARA RIOS MOÇO; JOSÉ MANUEL RODRIGUEIRO FLAUZINO,,,,C12Q 1/68,C12R 1/01,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012376-9,18/06/2018,,,C12Q 1/00,,BIOSSENSOR ENZIMÁTICO PARA DETECÇÃO DE ORGANOFOSFORADOS,UNIVERSIDADE FEDERAL DO MARANHÃO,MA,BR,ALLYSSON KAYRON DE CARVALHO SILVA; LAIANE ARAÚJO DA SILVA SOUTO; TALITA DA SILVA ESPÓSITO; SUZAN DINIZ SANTOS; GILVANDA SILVA NUNES; FERNANDA JENIFFER OLIVEIRA LINDOSO,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,,ALLYSSON KAYRON DE CARVALHO SILVA,LAIANE ARAÚJO DA SILVA SOUTO; TALITA DA SILVA ESPÓSITO; SUZAN DINIZ SANTOS; GILVANDA SILVA NUNES; FERNANDA JENIFFER OLIVEIRA LINDOSO,,,,C12Q 1/00,,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012385-8,18/06/2018,,,C01B 39/04,C01B 39/04,PROCESSO DE FABRICAÇÃO DE MATERIAIS MESOPOROSOS ÁCIDOS,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,BR,PEDRO AUGUSTO ARROYO; MURILO PEREIRA MOISÉS; ELCIANE REGINA ZANATTA,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,,PEDRO AUGUSTO ARROYO,MURILO PEREIRA MOISÉS; ELCIANE REGINA ZANATTA,C01B 39/04,,,C01B 39/04,,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012412-9,18/06/2018,,,A23C 19/076; A23L 33/135; A23L 33/21,A23C 19/0765; A23L 33/135; A23L 33/21,QUEIJO PETIT-SUISSE CAPRINO SABOR MARACUJÁ COM POTENCIAL FUNCIONAL ADICIONADO DE L. ACIDOPHILUS E EXTRATO DE BATATA YACON,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,PB,BR,JANAINA SEVERO DE LIMA GAMA; MARIA ELIEIDY GOMES DE OLIVEIRA; ANA CRISTINA SILVEIRA MARTINS; MAYARA GABRIELLY GERMANO DE ARAÚJO; JAIELISON YANDRO PEREIRA DA SILVA; SABRINA DUARTE DE OLIVEIRA; JULIANA KÉSSIA BARBOSA SOARES; VANESSA BORDIN VIERA; LARISSA MARIA GOMES DUTRA; JÉSSICA LIMA DE MORAIS,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,,JANAINA SEVERO DE LIMA GAMA,MARIA ELIEIDY GOMES DE OLIVEIRA; ANA CRISTINA SILVEIRA MARTINS; MAYARA GABRIELLY GERMANO DE ARAÚJO; JAIELISON YANDRO PEREIRA DA SILVA; SABRINA DUARTE DE OLIVEIRA; JULIANA KÉSSIA BARBOSA SOARES; VANESSA BORDIN VIERA; LARISSA MARIA GOMES DUTRA; JÉSSICA LIMA DE MORAIS,A23C 19/0765,A23L 33/135,A23L 33/21,A23C 19/076,A23L 33/135,A23L 33/21
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012435-8,18/06/2018,,,H02S 40/32; G05F 1/67,,SISTEMA PARA EXTRAÇÃO DE MÁXIMA POTÊNCIA DE MÓDULOS FOTOVOLTAICOS EM DOIS ESTÁGIOS SEM UTILIZAÇÃO DE SENSORIAMENTO DO LADO CC,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,MG,BR,LUIZ CARLOS GOMES DE FREITAS; LUCAS PEREIRA PIRES; LUIZ CARLOS DE FREITAS,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,,LUIZ CARLOS GOMES DE FREITAS,LUCAS PEREIRA PIRES; LUIZ CARLOS DE FREITAS,,,,H02S 40/32,G05F 1/67,
07/01/2020,Patente,2557,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2018 012455-2,18/06/2018,,,C01B 33/32; C04B 12/00,C01B 33/32; C04B 12/005,"PROCESSO PARA A OBTENÇÃO DE ALUMINOSSILICATO SINTÉTICO, PROCESSO PARA A OBTENÇÃO DE GEOPOLÍMERO E PRODUTO",UNIVERSIDADE FEDERAL DE MINAS GERAIS,MG,BR,MARIANA ARRUDA PEREIRA; WANDER LUIZ VASCONCELOS; DANIELA CORDEIRO LEITE VASCONCELOS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,,MARIANA ARRUDA PEREIRA,WANDER LUIZ VASCONCELOS; DANIELA CORDEIRO LEITE VASCONCELOS,C01B 33/32,C04B 12/005,,C01B 33/32,C04B 12/00,
