,data_base,modalidade,numero_de_operacoes
0,2012-06,Cartão de crédito,176610963
1,2012-06,Empréstimo com consignação em folha,36536654
2,2012-06,Empréstimo sem consignação em folha,25555154
3,2012-06,Habitacional,3114694
4,2012-06,Outros créditos,26819530
5,2012-06,Rural e agroindustrial,2955666
6,2012-06,Veículos,14116376
7,2012-07,Cartão de crédito,178288335
8,2012-07,Empréstimo com consignação em folha,36887628
9,2012-07,Empréstimo sem consignação em folha,25062325
10,2012-07,Habitacional,3157382
11,2012-07,Outros créditos,27030446
12,2012-07,Rural e agroindustrial,2870045
13,2012-07,Veículos,14084193
14,2012-08,Cartão de crédito,179457907
15,2012-08,Empréstimo com consignação em folha,37061906
16,2012-08,Empréstimo sem consignação em folha,24912399
17,2012-08,Habitacional,3211109
18,2012-08,Outros créditos,27457215
19,2012-08,Rural e agroindustrial,2905423
20,2012-08,Veículos,14158360
21,2012-09,Cartão de crédito,156872685
22,2012-09,Empréstimo com consignação em folha,37027131
23,2012-09,Empréstimo sem consignação em folha,24761851
24,2012-09,Habitacional,3216476
25,2012-09,Outros créditos,27043727
26,2012-09,Rural e agroindustrial,2947036
27,2012-09,Veículos,14112350
28,2012-10,Cartão de crédito,110489184
29,2012-10,Empréstimo com consignação em folha,37262697
30,2012-10,Empréstimo sem consignação em folha,24953050
31,2012-10,Habitacional,3257104
32,2012-10,Outros créditos,27398028
33,2012-10,Rural e agroindustrial,2980832
34,2012-10,Veículos,14103387
35,2012-11,Cartão de crédito,108724800
36,2012-11,Empréstimo com consignação em folha,37359640
37,2012-11,Empréstimo sem consignação em folha,24546165
38,2012-11,Habitacional,3288622
39,2012-11,Outros créditos,27574310
40,2012-11,Rural e agroindustrial,3032634
41,2012-11,Veículos,14095490
42,2012-12,Cartão de crédito,114546178
43,2012-12,Empréstimo com consignação em folha,37246841
44,2012-12,Empréstimo sem consignação em folha,23049302
45,2012-12,Habitacional,3332948
46,2012-12,Outros créditos,26682385
47,2012-12,Rural e agroindustrial,3089512
48,2012-12,Veículos,14109678
49,2013-01,Cartão de crédito,114371390
50,2013-01,Empréstimo com consignação em folha,38066209
51,2013-01,Empréstimo sem consignação em folha,23252228
52,2013-01,Habitacional,3371442
53,2013-01,Outros créditos,27818754
54,2013-01,Rural e agroindustrial,3122948
55,2013-01,Veículos,14063034
56,2013-02,Cartão de crédito,112238628
57,2013-02,Empréstimo com consignação em folha,38501200
58,2013-02,Empréstimo sem consignação em folha,23451576
59,2013-02,Habitacional,3406818
60,2013-02,Outros créditos,27945505
61,2013-02,Rural e agroindustrial,3157863
62,2013-02,Veículos,14037000
63,2013-03,Cartão de crédito,111633108
64,2013-03,Empréstimo com consignação em folha,38570722
65,2013-03,Empréstimo sem consignação em folha,23792049
66,2013-03,Habitacional,3454232
67,2013-03,Outros créditos,27988738
68,2013-03,Rural e agroindustrial,3176044
69,2013-03,Veículos,14020271
70,2013-04,Cartão de crédito,112368607
71,2013-04,Empréstimo com consignação em folha,38785823
72,2013-04,Empréstimo sem consignação em folha,24132853
73,2013-04,Habitacional,3501181
74,2013-04,Outros créditos,29343226
75,2013-04,Rural e agroindustrial,3193741
76,2013-04,Veículos,13991940
77,2013-05,Cartão de crédito,115078681
78,2013-05,Empréstimo com consignação em folha,39071422
79,2013-05,Empréstimo sem consignação em folha,24351769
80,2013-05,Habitacional,3572825
81,2013-05,Outros créditos,29530468
82,2013-05,Rural e agroindustrial,3227174
