,ano,ocupacao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
0,2012,Aposentado/pensionista,ACRE,830026.0,21775491.61440458,26.23471025534692
1,2012,Autônomo,ACRE,830026.0,17033315.02194375,20.52142345172772
2,2012,Empregado de empresa privada,ACRE,830026.0,12907596.180627724,15.550833565006066
3,2012,Empregado de entidades sem fins lucrativos,ACRE,830026.0,41677.350240706524,0.050212102079581274
4,2012,Empresário,ACRE,830026.0,52180814.603544734,62.86648201808706
5,2012,Outros,ACRE,830026.0,193157310.85136804,232.71236184332543
6,2012,Servidor ou empregado público,ACRE,830026.0,134499925.67960152,162.04302718180097
26,2013,Aposentado/pensionista,ACRE,830026.0,21189676.4241694,25.528930930078573
27,2013,Autônomo,ACRE,830026.0,18578423.444740094,22.38294155212017
28,2013,Empregado de empresa privada,ACRE,830026.0,18006736.062436502,21.694183149005575
29,2013,Empregado de entidades sem fins lucrativos,ACRE,830026.0,224976.1820177046,0.2710471503515608
30,2013,Empresário,ACRE,830026.0,52691420.00380673,63.481649976996785
31,2013,Outros,ACRE,830026.0,255643103.49359658,307.9940911412372
32,2013,Servidor ou empregado público,ACRE,830026.0,134485617.5583433,162.0257890214804
52,2014,Aposentado/pensionista,ACRE,830026.0,15658148.665471368,18.86464841519587
53,2014,Autônomo,ACRE,830026.0,18500428.638426058,22.28897484949394
54,2014,Empregado de empresa privada,ACRE,830026.0,16886501.135592327,20.344544792081606
55,2014,Empregado de entidades sem fins lucrativos,ACRE,830026.0,141433.5301975945,0.17039650588968838
56,2014,Empresário,ACRE,830026.0,35734120.39767067,43.0518084947588
57,2014,Outros,ACRE,830026.0,238925792.76695317,287.85338383008866
58,2014,Servidor ou empregado público,ACRE,830026.0,115085826.0163781,138.65327835077227
78,2015,Aposentado/pensionista,ACRE,830026.0,12852855.369098589,15.484882845957342
79,2015,Autônomo,ACRE,830026.0,20163327.995709505,24.292405292978177
80,2015,Empregado de empresa privada,ACRE,830026.0,13812329.297704747,16.640839320340262
81,2015,Empregado de entidades sem fins lucrativos,ACRE,830026.0,164278.3473987034,0.19791951986889977
82,2015,Empresário,ACRE,830026.0,40264635.02058122,48.510088865386415
83,2015,Outros,ACRE,830026.0,263208700.69221818,317.10898296224235
84,2015,Servidor ou empregado público,ACRE,830026.0,109421974.0117611,131.82957402751373
103,2016,Aposentado/pensionista,ACRE,830026.0,18693793.258738954,22.521936973948954
104,2016,Autônomo,ACRE,830026.0,13288035.698770113,16.00918007239546
105,2016,Empregado de empresa privada,ACRE,830026.0,13733769.944636617,16.54619246220795
106,2016,Empregado de entidades sem fins lucrativos,ACRE,830026.0,1068895.691927236,1.2877857945741893
107,2016,Empresário,ACRE,830026.0,30698258.503225207,36.98469506163085
108,2016,MEI,ACRE,830026.0,829319.4927862957,0.9991488131531973
109,2016,Outros,ACRE,830026.0,190151327.3908243,229.09080846964346
110,2016,Servidor ou empregado público,ACRE,830026.0,120366251.7565001,145.0150377897802
129,2017,Aposentado/pensionista,ACRE,830026.0,26086996.417178158,31.429131638259715
130,2017,Autônomo,ACRE,830026.0,23626542.365016773,28.46482202366766
131,2017,Empregado de empresa privada,ACRE,830026.0,18662009.017951068,22.483643907481294
132,2017,Empregado de entidades sem fins lucrativos,ACRE,830026.0,104755.48566430053,0.12620747502403604
133,2017,Empresário,ACRE,830026.0,36177340.08546888,43.58579139143699
134,2017,MEI,ACRE,830026.0,1474970.382357686,1.7770170842331277
135,2017,Outros,ACRE,830026.0,90928493.44857636,109.54897009078795
136,2017,Servidor ou empregado público,ACRE,830026.0,118082647.53541869,142.26379358648848
156,2018,Aposentado/pensionista,ACRE,830026.0,26045670.980368618,31.379343514984612
157,2018,Autônomo,ACRE,830026.0,18451220.33940543,22.229689599368488
158,2018,Empregado de empresa privada,ACRE,830026.0,19191708.799036015,23.121816423866257
159,2018,Empregado de entidades sem fins lucrativos,ACRE,830026.0,193369.07181173042,0.2329674875386198
160,2018,Empresário,ACRE,830026.0,33427352.612777427,40.2726572574563
161,2018,MEI,ACRE,830026.0,1367275.2774397433,1.6472680102066
162,2018,Outros,ACRE,830026.0,98680478.48508517,118.88841853759422
163,2018,Servidor ou empregado público,ACRE,830026.0,103425059.07184127,124.60460162915531
183,2019,Aposentado/pensionista,ACRE,830026.0,30058072.87842233,36.21341124063864
184,2019,Autônomo,ACRE,830026.0,24556395.775975894,29.585092245274115
185,2019,Empregado de empresa privada,ACRE,830026.0,23826323.282841366,28.705514384900432
186,2019,Empregado de entidades sem fins lucrativos,ACRE,830026.0,368030.26298591745,0.4433960658894028
187,2019,Empresário,ACRE,830026.0,37824585.81506216,45.570362633293605
188,2019,MEI,ACRE,830026.0,2217476.8912285985,2.671575217196327
189,2019,Outros,ACRE,830026.0,121333090.58351462,146.17986735778712
190,2019,Servidor ou empregado público,ACRE,830026.0,132067343.60786709,159.11229721462593
211,2020,Aposentado/pensionista,ACRE,830026.0,35315717.78772451,42.54772475527816
212,2020,Autônomo,ACRE,830026.0,25173143.321401834,30.328138300971094
213,2020,Empregado de empresa privada,ACRE,830026.0,23043265.62132738,27.762100971930256
214,2020,Empregado de entidades sem fins lucrativos,ACRE,830026.0,314487.7030388422,0.3788889782233836
215,2020,Empresário,ACRE,830026.0,37096486.67202461,44.69316222868272
216,2020,MEI,ACRE,830026.0,2705921.1823862786,3.260043881018521
217,2020,Outros,ACRE,830026.0,117873658.46453027,142.0120074124549
218,2020,Servidor ou empregado público,ACRE,830026.0,126766774.48442735,152.72626939930478
239,2021,Aposentado/pensionista,ACRE,830026.0,38972241.36965557,46.95303685626182
240,2021,Autônomo,ACRE,830026.0,23745053.68858831,28.6076022782278
241,2021,Empregado de empresa privada,ACRE,830026.0,28539235.07151743,34.38354349323687
242,2021,Empregado de entidades sem fins lucrativos,ACRE,830026.0,617596.0099267344,0.7440682700623045
243,2021,Empresário,ACRE,830026.0,41425898.67138827,49.90915787142604
244,2021,MEI,ACRE,830026.0,3260801.3996431134,3.928553321996074
245,2021,Outros,ACRE,830026.0,148774016.17703876,179.24018787006523
246,2021,Servidor ou empregado público,ACRE,830026.0,141697772.97078627,170.71486070410597
267,2022,Aposentado/pensionista,ACRE,830026.0,48721388.20489945,58.6986289645137
268,2022,Autônomo,ACRE,830026.0,34058421.28093179,41.032957137405084
269,2022,Empregado de empresa privada,ACRE,830026.0,47558059.68959925,57.2970722478564
270,2022,Empregado de entidades sem fins lucrativos,ACRE,830026.0,248051.13774941015,0.298847430983379
271,2022,Empresário,ACRE,830026.0,60690231.056404874,73.11846985082983
272,2022,MEI,ACRE,830026.0,5235723.495491664,6.307903000016462
273,2022,Outros,ACRE,830026.0,221173036.5183156,266.4651908715096
274,2022,Servidor ou empregado público,ACRE,830026.0,177036788.3463688,213.29065396309127
295,2012,Aposentado/pensionista,ALAGOAS,3127511.0,76147849.52550757,24.347747945733065
296,2012,Autônomo,ALAGOAS,3127511.0,117104355.01001926,37.443307157039335
297,2012,Empregado de empresa privada,ALAGOAS,3127511.0,89258389.18737318,28.53975227820883
298,2012,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,796442.4669682379,0.25465696746334
299,2012,Empresário,ALAGOAS,3127511.0,186834704.94817382,59.739104018554634
300,2012,Outros,ALAGOAS,3127511.0,1022352869.9662473,326.8902555310748
301,2012,Servidor ou empregado público,ALAGOAS,3127511.0,242630132.54166296,77.57930588946384
321,2013,Aposentado/pensionista,ALAGOAS,3127511.0,65863384.95800886,21.05936156835543
322,2013,Autônomo,ALAGOAS,3127511.0,121354740.8433423,38.802338614745814
323,2013,Empregado de empresa privada,ALAGOAS,3127511.0,103136368.89474702,32.977140254581684
324,2013,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,450403.803165337,0.14401349928596158
325,2013,Empresário,ALAGOAS,3127511.0,186457268.17115697,59.61842122095077
326,2013,Outros,ALAGOAS,3127511.0,1210199583.1643186,386.9529421844779
327,2013,Servidor ou empregado público,ALAGOAS,3127511.0,226031610.41941532,72.2720433019789
347,2014,Aposentado/pensionista,ALAGOAS,3127511.0,64310151.85791773,20.56272603291171
348,2014,Autônomo,ALAGOAS,3127511.0,117948147.65527205,37.71310401634784
349,2014,Empregado de empresa privada,ALAGOAS,3127511.0,97915857.85322021,31.30791797477937
350,2014,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,300189.5131722838,0.09598351953751204
351,2014,Empresário,ALAGOAS,3127511.0,178238541.59837466,56.99054027256008
352,2014,Outros,ALAGOAS,3127511.0,1219952092.7714095,390.071239644372
353,2014,Servidor ou empregado público,ALAGOAS,3127511.0,220159640.08053264,70.39452141991912
373,2015,Aposentado/pensionista,ALAGOAS,3127511.0,63665705.59962378,20.356668801364336
374,2015,Autônomo,ALAGOAS,3127511.0,133081321.3076287,42.55183157073747
375,2015,Empregado de empresa privada,ALAGOAS,3127511.0,88830490.38382617,28.40293459681714
376,2015,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,509135.385588641,0.16279251634563108
377,2015,Empresário,ALAGOAS,3127511.0,203683836.79298216,65.12649733061919
378,2015,Outros,ALAGOAS,3127511.0,1319050788.4470086,421.757361827667
379,2015,Servidor ou empregado público,ALAGOAS,3127511.0,207617114.09950757,66.38413553126034
399,2016,Aposentado/pensionista,ALAGOAS,3127511.0,82787931.60001789,26.470868239957554
400,2016,Autônomo,ALAGOAS,3127511.0,62828099.240944594,20.08884996437889
401,2016,Empregado de empresa privada,ALAGOAS,3127511.0,108347162.71129555,34.643255518939995
402,2016,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,454814.7176993971,0.14542385868487662
403,2016,Empresário,ALAGOAS,3127511.0,157682160.59064996,50.41777969466773
404,2016,MEI,ALAGOAS,3127511.0,7655063.439159636,2.4476535619409927
405,2016,Outros,ALAGOAS,3127511.0,1281655502.8912866,409.8004780450929
406,2016,Servidor ou empregado público,ALAGOAS,3127511.0,235365344.79526636,75.25644027959177
426,2017,Aposentado/pensionista,ALAGOAS,3127511.0,117741826.76261167,37.647134338651945
427,2017,Autônomo,ALAGOAS,3127511.0,144313075.50036153,46.14310725057771
428,2017,Empregado de empresa privada,ALAGOAS,3127511.0,151120670.52571157,48.31978865165033
429,2017,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1203127.7666837114,0.3846917778014886
430,2017,Empresário,ALAGOAS,3127511.0,222957941.97152448,71.28925908542752
431,2017,MEI,ALAGOAS,3127511.0,17042676.41959853,5.449277850533069
432,2017,Outros,ALAGOAS,3127511.0,801065568.6505473,256.1351722345812
433,2017,Servidor ou empregado público,ALAGOAS,3127511.0,261046253.77668908,83.46773321554716
453,2018,Aposentado/pensionista,ALAGOAS,3127511.0,135161390.95409504,43.216919446197004
454,2018,Autônomo,ALAGOAS,3127511.0,138177653.66482654,44.18134857553708
455,2018,Empregado de empresa privada,ALAGOAS,3127511.0,158763953.47461748,50.76367548335321
456,2018,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1255733.219465225,0.4015120073007657
457,2018,Empresário,ALAGOAS,3127511.0,194446491.60351822,62.1729201283443
458,2018,MEI,ALAGOAS,3127511.0,23700887.372289695,7.5781947281047755
459,2018,Outros,ALAGOAS,3127511.0,776120471.2535373,248.15914996095532
460,2018,Servidor ou empregado público,ALAGOAS,3127511.0,242488827.46573737,77.53412456926206
481,2019,Aposentado/pensionista,ALAGOAS,3127511.0,143717744.9290245,45.95275442005623
482,2019,Autônomo,ALAGOAS,3127511.0,144207363.11347687,46.10930644639679
483,2019,Empregado de empresa privada,ALAGOAS,3127511.0,182877791.20310894,58.473908230253684
484,2019,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1009234.7929329042,0.3226958411762274
485,2019,Empresário,ALAGOAS,3127511.0,206915488.36293292,66.1597955572124
486,2019,MEI,ALAGOAS,3127511.0,25854618.06733836,8.266835214117027
487,2019,Outros,ALAGOAS,3127511.0,880564861.2917795,281.55452092471603
488,2019,Servidor ou empregado público,ALAGOAS,3127511.0,273148951.46057576,87.33748704979
509,2020,Aposentado/pensionista,ALAGOAS,3127511.0,150230525.0625537,48.035170799576306
510,2020,Autônomo,ALAGOAS,3127511.0,143569386.35154423,45.905317791542295
511,2020,Empregado de empresa privada,ALAGOAS,3127511.0,200655435.90667713,64.15818710363517
512,2020,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1534637.836645045,0.4906898286353094
513,2020,Empresário,ALAGOAS,3127511.0,209251253.4876855,66.90664029245157
514,2020,MEI,ALAGOAS,3127511.0,30761280.781888448,9.8357066631863
515,2020,Outros,ALAGOAS,3127511.0,869053568.7278425,277.8738647850775
516,2020,Servidor ou empregado público,ALAGOAS,3127511.0,281856894.8004197,90.12179167408834
537,2021,Aposentado/pensionista,ALAGOAS,3127511.0,152933529.64928356,48.89943781150044
538,2021,Autônomo,ALAGOAS,3127511.0,147115069.545189,47.03902545672549
539,2021,Empregado de empresa privada,ALAGOAS,3127511.0,231878972.0141089,74.14169670837573
540,2021,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1286622.3340666187,0.41138858794313393
541,2021,Empresário,ALAGOAS,3127511.0,213525474.33238113,68.27329283010711
542,2021,MEI,ALAGOAS,3127511.0,35636949.694198795,11.394668058465276
543,2021,Outros,ALAGOAS,3127511.0,1130592618.8519497,361.49916622258075
544,2021,Servidor ou empregado público,ALAGOAS,3127511.0,299852284.6189263,95.87569304118396
565,2022,Aposentado/pensionista,ALAGOAS,3127511.0,158774518.01636535,50.76705342247089
566,2022,Autônomo,ALAGOAS,3127511.0,187900278.05464303,60.07981364562524
567,2022,Empregado de empresa privada,ALAGOAS,3127511.0,319991016.5124468,102.31491320492457
568,2022,Empregado de entidades sem fins lucrativos,ALAGOAS,3127511.0,1178484.0705198823,0.3768121264864879
569,2022,Empresário,ALAGOAS,3127511.0,268529329.0949233,85.86039476597311
570,2022,MEI,ALAGOAS,3127511.0,50888395.19840702,16.271212219047996
571,2022,Outros,ALAGOAS,3127511.0,1477883848.3838086,472.54313362408914
572,2022,Servidor ou empregado público,ALAGOAS,3127511.0,374576834.5565109,119.76835079285442
593,2012,Aposentado/pensionista,AMAZONAS,3941175.0,57496731.342670366,14.588728321546332
594,2012,Autônomo,AMAZONAS,3941175.0,120409919.04281199,30.551781903318677
595,2012,Empregado de empresa privada,AMAZONAS,3941175.0,223818353.02503556,56.78975255476744
596,2012,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2477251.3379129367,0.6285565441557243
597,2012,Empresário,AMAZONAS,3941175.0,149717157.3526816,37.987949622303404
598,2012,Outros,AMAZONAS,3941175.0,805047202.9583856,204.265784431898
599,2012,Servidor ou empregado público,AMAZONAS,3941175.0,375400039.79552037,95.25079190736781
619,2013,Aposentado/pensionista,AMAZONAS,3941175.0,59257051.831369065,15.035376970413408
620,2013,Autônomo,AMAZONAS,3941175.0,133589184.67034544,33.89577592224284
621,2013,Empregado de empresa privada,AMAZONAS,3941175.0,258600081.98328793,65.6149706580621
622,2013,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,2312603.1893985774,0.586780132675808
623,2013,Empresário,AMAZONAS,3941175.0,155452962.87077606,39.4433038042655
624,2013,Outros,AMAZONAS,3941175.0,934975705.2408333,237.23273014794657
625,2013,Servidor ou empregado público,AMAZONAS,3941175.0,413747437.7616397,104.98073233531618
645,2014,Aposentado/pensionista,AMAZONAS,3941175.0,58677614.5362787,14.888355512322772
646,2014,Autônomo,AMAZONAS,3941175.0,116637490.1520638,29.59459809626921
647,2014,Empregado de empresa privada,AMAZONAS,3941175.0,234560561.52803454,59.51538856509405
648,2014,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,1718809.9870821857,0.4361161296014985
649,2014,Empresário,AMAZONAS,3941175.0,134286232.3717111,34.07263883783671
650,2014,Outros,AMAZONAS,3941175.0,972847101.0155052,246.8418938553871
651,2014,Servidor ou empregado público,AMAZONAS,3941175.0,369670669.3678876,93.79707051016197
671,2015,Aposentado/pensionista,AMAZONAS,3941175.0,48356602.80017535,12.269590363324477
672,2015,Autônomo,AMAZONAS,3941175.0,134149368.99107641,34.037912295464274
673,2015,Empregado de empresa privada,AMAZONAS,3941175.0,237349219.4967635,60.222958761476846
674,2015,Empregado de entidades sem fins lucrativos,AMAZONAS,3941175.0,3160702.7685154662,0.801969658417976
675,2015,Empresário,AMAZONAS,3941175.0,145461740.95175523,36.90821669977994
676,2015,Outros,AMAZONAS,3941175.0,985983235.0918628,250.17494404380997
677,2015,Servidor ou empregado público,AMAZONAS,3941175.0,352943249.66718715,89.55279825615132
698,2016,Aposentado/pensionista,AMAZONAS,3941175.0,97486110.68864568,24.735291046108248
699,2016,Autônomo,AMAZONAS,3941175.0,86567976.90248203,21.965017260710837
