,data_base,modalidade,porte,valor_deflacionado
0,2012-06-01,Cartão de crédito,Acima de 20 salários mínimos,132083120.31154606
1,2012-06-01,Cartão de crédito,Até 1 salário mínimo,79517503.52130692
2,2012-06-01,Cartão de crédito,Indisponível,1483.2528174623699
3,2012-06-01,Cartão de crédito,Mais de 10 a 20 salários mínimos,98396389.82270522
4,2012-06-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,81934729.34503974
5,2012-06-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,63330356.435254395
6,2012-06-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,91775600.3171158
7,2012-06-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,143795372.9070046
8,2012-06-01,Cartão de crédito,Sem rendimento,502313475.3624214
9,2012-06-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,49733889745.500984
10,2012-06-01,Empréstimo com consignação em folha,Até 1 salário mínimo,22960673937.10734
11,2012-06-01,Empréstimo com consignação em folha,Indisponível,409669227.906257
12,2012-06-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,18063327212.424664
13,2012-06-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,18640772047.92769
14,2012-06-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,14149499628.390427
15,2012-06-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,25027648983.792973
16,2012-06-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,30484378207.846527
17,2012-06-01,Empréstimo com consignação em folha,Sem rendimento,31570074556.125496
18,2012-06-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,15649406235.045475
19,2012-06-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,4136276484.8823295
20,2012-06-01,Empréstimo sem consignação em folha,Indisponível,7144112.949425335
21,2012-06-01,Empréstimo sem consignação em folha,Mais de 10 a 20 salários mínimos,11151546887.424564
22,2012-06-01,Empréstimo sem consignação em folha,Mais de 1 a 2 salários mínimos,3933240200.4212046
