"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 8498/2017";"Dispõe sobre alteração Lei 12.933, de 26 de dezembro de 2013, que dispõe sobre o benefício do pagamento de meia-entrada.";"";"HEULER CRUVINEL";"GO";"PSD";"05/09/2017";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2150487"
"PL 7590/2017";"Estabelece o procedimento de recuperação judicial de pessoas físicas, altera a Lei n.º 9.099, de 26 de setembro de 1995, para atribuir a competência dos Juizados Especiais Cíveis para processar e julgar a recuperação judicial da pessoa física nos termos e condições que especifica.";"";"ALEXANDRE VALLE;Celso Russomanno";"RJ;SP";"PR;PRB";"10/05/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2136456"
"PL 7884/2017";"Altera as Leis nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso) e nº 10.820, de 17 de dezembro de 2003, para tratar da prevenção do superendividamento das pessoas idosas.";"";"ANTONIO CARLOS MENDES THAME";"SP";"PV";"14/06/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2141639"
"PL 7840/2017";"Acrescenta §§4º a 7º ao art. 52, da Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para estabelecer percentual limite para a fixação de prestações mensais na renegociação de operações de crédito por pessoa física.";"";"Moses Rodrigues";"CE";"PMDB";"08/06/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2141041"
"PL 7391/2017";"Dispõe sobre a anistia das dívidas e multas referentes a cobrança da contribuição ao Fundo de Assistência ao Trabalhador Rural (Funrural) durante o período de 2011 a 2017.";"";"Dagoberto Nogueira";"MS";"PDT";"11/04/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2129185"
"PL 8421/2017";"Altera a Lei Complementar nº 26, de 11 de setembro de 1975, para dispor sobre a movimentação do saldo disponível nas contas individuais do Fundo PIS-Pasep pelos titulares.";"";"ROGÉRIO SILVA";"MT";"PMDB";"30/08/2017";"Devolvida ao Autor";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2149801"
"PL 1825/2022 (Nº Anterior: PLS 68/2017)";"Institui a Lei Geral do Esporte.";"";"Senado Federal - Comissão Diretora do Senado Federal";"";"";"29/06/2022";"Transformado em Norma Jurídica";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2330849"
"PL 8325/2017";"Dispõe sobre as competências, a composição e a forma de funcionamento do Conselho de Gestão Fiscal.";"";"Julio Lopes;Paulo Abi-Ackel";"RJ;MG";"PP;PSDB";"17/08/2017";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2148379"
"PL 9227/2017";"Concede anistia e remissão de débitos tributários de forma incondicionada para instituições que atuam na área de saúde de forma filantrópica.";"";"Dr. Sinval Malheiros";"SP";"PODE";"29/11/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2163904"
"PL 7760/2017";"Cria o Fundo Nacional de Desenvolvimento Federativo (FNDF)";"";"Reginaldo Lopes";"MG";"PT";"31/05/2017";"Aguardando Designação de Relator";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2139925"
"PL 8682/2017";"Dispõe sobre incentivo à pontualidade no pagamento de tributos federais, institui o bônus de adimplência e dá outras providências.";"";"Jerônimo Goergen";"RS";"PP";"26/09/2017";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2152860"
"PL 8336/2017";"Estabelece regras gerais sobre a contratação de operações de crédito ao consumidor. ";"";"Carlos Henrique Gaguim";"TO";"PODE";"22/08/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2148661"
"PL 7410/2017";"Consolida a legislação do Sistema Financeiro Nacional, em cumprimento aos artigos 13 e 14 da Lei Complementar nº 95, de 26 de fevereiro de 1998. ";"";"Comissão de Finanças e Tributação";"";"";"12/04/2017";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2129382"
"
"
"Fonte";"Sistema de Informações Legislativas - Câmara dos Deputados"
"Data/Hora da pesquisa";"25/10/2023 21:27"
"Total de resultados";"13"
"Termo da pesquisa";"endividamento"
"Ano";"2017"
"Tipo de proposição";"Projeto de Lei"
