"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 2632/2023";"Estabelece o crédito responsável e assegura a garantia do mínimo existencial para os endividados.";"";"Fred Linhares";"DF";"REPUBLIC";"17/05/2023";"Pronta para Pauta";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2362887"
"PL 4940/2023";"Altera a Lei nº 14.690, de 3 de outubro de 2023, para priorizar setores do transporte complementar no Programa Emergencial de Renegociação de Dívidas de Pessoas Físicas Inadimplentes – Desenrola Brasil.
";"";"Zé Neto";"BA";"PT";"10/10/2023";"Aguardando Providências Internas";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2395365"
"PL 4258/2023";"Dispõe sobre a legislação do Imposto sobre a Renda da Pessoa Jurídica e da Contribuição Social sobre Lucro Líquido.";"";"Poder Executivo";"";"";"31/08/2023";"Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2384817"
"PL 3304/2023";"Altera a Lei nº 13.340, de 28 de setembro de 2016, para prorrogar o prazo de liquidação de dívidas vencidas junto à CODEVASF e o DNOCS.";"";"José Guimarães";"CE";"PT";"29/06/2023";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2371957"
"PL 4293/2023";"Altera o § 2º do art. 35-A, da Lei 9.394 de 20 de dezembro de 1996, para incluir a educação financeira na Base Nacional Comum Curricular referente ao ensino médio.";"";"Mauricio do Vôlei";"MG";"PL";"04/09/2023";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2385347"
"PL 4613/2023";"Altera a Lei nº 9.430, de 27 de dezembro de 1996, para criar alíquota adicional de imposto sobre a renda de instituições financeiras.";"";"Newton Cardoso Jr";"MG";"MDB";"21/09/2023";"Aguardando Designação de Relator";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2389697"
"PL 3309/2023";"Altera a Lei 14.300/2022 para permitir a cessão de crédito de energia elétrica para entidades beneficentes, hospitais públicos e hospitais filantrópicos.";"";"Odair Cunha";"MG";"PT";"30/06/2023";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2371990"
"PL 4394/2023";"Altera o Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), para tipificar a contravenção penal de divulgação de jogo de azar.";"";"Waldemar Oliveira";"PE";"AVANTE";"12/09/2023";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2386646"
"PL 2591/2023";"Altera o parágrafo único e seus incisos, do Art. 2º da Lei 14.509 de 27 de dezembro de 2022 que “Dispõe sobre o percentual máximo aplicado para a contratação de operações de crédito com desconto automático em folha de pagamento; altera a Lei nº 14.431, de 3 de agosto de 2022; revoga dispositivos da Lei nº 8.112, de 11 de dezembro de 1990; e dá outras providências” para tornar facultativa a reserva de 5% na remuneração do servidor público federal para o pagamento de empréstimos consignados relativos aos cartões de crédito e cartão consignado de benefício.
";"";"Maria do Rosário";"RS";"PT";"16/05/2023";"Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2362494"
"PL 2542/2023";"Altera a Lei Complementar nº 179, de 24 de fevereiro de 2021, para dispor sobre a nomeação e exoneração do presidente do Banco Central.";"";"Félix Mendonça Júnior";"BA";"PDT";"12/05/2023";"Aguardando Providências Internas";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2362066"
