,competencia,DscTipoSubsidio,Total_Subsidio_12_2022,Total_consumidores,ibge_6,ibge_7,UF,municipio,porte
2,12/2022,SubsBaixaRenda,27677.28,1056,110001.0,1100015.0,RO,Alta Floresta D´oeste,Pequeno II
3,12/2022,SubsBaixaRenda,172013.56,6275,110002.0,1100023.0,RO,Ariquemes,Médio
4,12/2022,SubsBaixaRenda,6287.68,241,110003.0,1100031.0,RO,Cabixi,Pequeno I
5,12/2022,SubsBaixaRenda,166825.43,6139,110004.0,1100049.0,RO,Cacoal,Médio
6,12/2022,SubsBaixaRenda,31560.1,1173,110005.0,1100056.0,RO,Cerejeiras,Pequeno I
7,12/2022,SubsBaixaRenda,17114.99,697,110006.0,1100064.0,RO,Colorado do Oeste,Pequeno I
8,12/2022,SubsBaixaRenda,9634.38,367,110007.0,1100072.0,RO,Corumbiara,Pequeno I
9,12/2022,SubsBaixaRenda,31517.86,1242,110008.0,1100080.0,RO,Costa Marques,Pequeno I
10,12/2022,SubsBaixaRenda,48772.31,1817,110009.0,1100098.0,RO,Espigão D´oeste,Pequeno II
11,12/2022,SubsBaixaRenda,90814.58,3495,110010.0,1100106.0,RO,Guajará-mirim,Pequeno II
12,12/2022,SubsBaixaRenda,91369.04,3452,110011.0,1100114.0,RO,Jaru,Médio
13,12/2022,SubsBaixaRenda,222228.89,8284,110012.0,1100122.0,RO,Ji-paraná,Grande
14,12/2022,SubsBaixaRenda,42429.88,1634,110013.0,1100130.0,RO,Machadinho D´oeste,Pequeno II
15,12/2022,SubsBaixaRenda,21619.89,859,110014.0,1100148.0,RO,Nova Brasilândia D´oeste,Pequeno I
16,12/2022,SubsBaixaRenda,62203.52,2318,110015.0,1100155.0,RO,Ouro Preto do Oeste,Pequeno II
17,12/2022,SubsBaixaRenda,46669.31,1734,110018.0,1100189.0,RO,Pimenta Bueno,Pequeno II
18,12/2022,SubsBaixaRenda,901590.83,33322,110020.0,1100205.0,RO,Porto Velho,Grande
19,12/2022,SubsBaixaRenda,41929.33,1612,110025.0,1100254.0,RO,Presidente Médici,Pequeno II
20,12/2022,SubsBaixaRenda,2862.11,108,110026.0,1100262.0,RO,Rio Crespo,Pequeno I
21,12/2022,SubsBaixaRenda,97135.89,3613,110028.0,1100288.0,RO,Rolim de Moura,Médio
22,12/2022,SubsBaixaRenda,9399.16,381,110029.0,1100296.0,RO,Santa Luzia D´oeste,Pequeno I
23,12/2022,SubsBaixaRenda,133536.54,5240,110030.0,1100304.0,RO,Vilhena,Médio
24,12/2022,SubsBaixaRenda,26104.45,992,110032.0,1100320.0,RO,São Miguel do Guaporé,Pequeno II
25,12/2022,SubsBaixaRenda,34771.82,1358,110033.0,1100338.0,RO,Nova Mamoré,Pequeno II
26,12/2022,SubsBaixaRenda,26137.26,1040,110034.0,1100346.0,RO,Alvorada D´oeste,Pequeno I
27,12/2022,SubsBaixaRenda,11830.18,448,110037.0,1100379.0,RO,Alto Alegre Dos Parecis,Pequeno I
28,12/2022,SubsBaixaRenda,22637.16,880,110040.0,1100403.0,RO,Alto Paraíso,Pequeno I
