,index,ibge_6,Dez_tot_pes,Dez_tot_pes_rpc_ate_meio_sm,Dez_tot_pes_pob,Dez_pes_ext_pob,Dez_tot_pes_pob_e_ext_pob,Dez_tot_bx_renda,Media_tot_pes,Media_tot_pes_rpc_ate_meio_sm,Media_tot_pes_pob,Media_pes_ext_pob,Media_tot_pes_pob_e_ext_pob,Media_tot_bx_renda,Soma_tot_pes,Soma_tot_pes_rpc_ate_meio_sm,Soma_tot_pes_pob,Soma_pes_ext_pob,Soma_tot_pes_pob_e_ext_pob,Soma_tot_bx_renda,ano,municipio,uf,ibge_7,soma_c1,media_c1,Soma_c1_original,Média_c1_original,total_max_cras,c1_12_2022,c1_original_12_2022,porte
0,0,110001,12695,9574,2503,3005,5508,4066,12182.58,9380.42,2335.83,3362.42,5698.25,3682.17,146191,112565,28030,40349,68379,44186,2022,'ALTA FLORESTA DOESTE','RO',1100015,14165.0,1180.42,14165,1180.42,1,522.0,522.0,Pequeno II
1,1,110002,39857,32098,8917,8743,17660,14438,38935.25,31886.08,8589.25,9516.08,18105.33,13780.75,467223,382633,103071,114193,217264,165369,2022,'ARIQUEMES','RO',1100023,15515.0,1292.92,15515,1292.92,1,611.0,611.0,Médio
2,2,110003,2504,1990,523,385,908,1082,2301.5,1859.67,499.58,511.58,1011.17,848.5,27618,22316,5995,6139,12134,10182,2022,'CABIXI','RO',1100031,1837.0,153.08,1837,153.08,1,128.0,128.0,Pequeno I
3,3,110004,40718,31406,7373,10481,17854,13552,37497.75,29279.75,6401.58,10080.67,16482.25,12797.5,449973,351357,76819,120968,197787,153570,2022,'CACOAL','RO',1100049,4709.0,428.09,8495,707.92,1,242.0,242.0,Médio
4,4,110005,7631,6139,1451,1965,3416,2723,7230.33,5870.75,1214.5,1999.0,3213.5,2657.25,86764,70449,14574,23988,38562,31887,2022,'CEREJEIRAS','RO',1100056,2140.0,194.55,4153,346.08,1,175.0,175.0,Pequeno I
5,5,110006,4707,3306,676,616,1292,2014,4831.08,3403.0,674.5,677.42,1351.92,2051.08,57973,40836,8094,8129,16223,24613,2022,'COLORADO DO OESTE','RO',1100064,2972.0,247.67,2972,247.67,1,308.0,308.0,Pequeno I
6,6,110007,3645,2703,790,704,1494,1209,3644.58,2781.17,792.92,948.67,1741.58,1039.58,43735,33374,9515,11384,20899,12475,2022,'CORUMBIARA','RO',1100072,4397.0,366.42,4397,366.42,1,200.0,200.0,Pequeno I
7,7,110008,10035,8518,1514,5291,6805,1713,9807.58,8350.17,1144.25,5614.42,6758.67,1591.5,117691,100202,13731,67373,81104,19098,2022,'COSTA MARQUES','RO',1100080,8243.0,686.92,8243,686.92,1,586.0,586.0,Pequeno I
8,8,110009,14303,10698,2591,3745,6336,4362,13733.33,10415.25,2396.5,3902.75,6299.25,4116.0,164800,124983,28758,46833,75591,49392,2022,'ESPIGAO DOESTE','RO',1100098,10060.0,838.33,10060,838.33,1,389.0,389.0,Pequeno II
9,9,110010,27868,23644,5048,12666,17714,5930,26877.58,22888.17,4405.92,12874.0,17279.92,5608.25,322531,274658,52871,154488,207359,67299,2022,'GUAJARA-MIRIM','RO',1100106,7867.0,655.58,7867,655.58,1,373.0,373.0,Pequeno II
10,10,110011,22914,17750,5232,3739,8971,8779,21654.92,16958.08,5210.42,3639.25,8849.67,8108.42,259859,203497,62525,43671,106196,97301,2022,'JARU','RO',1100114,28903.0,1256.65,31468,1311.17,2,2255.0,2255.0,Médio
11,11,110012,50021,37678,9852,8255,18107,19571,45687.67,34425.75,8980.92,6405.83,15386.75,19039.0,548252,413109,107771,76870,184641,228468,2022,'JI-PARANA','RO',1100122,54012.0,1125.25,54012,1125.25,4,3211.0,3211.0,Grande
12,12,110013,18736,14421,5695,2404,8099,6322,17863.08,14030.58,5632.92,2463.5,8096.42,5934.17,214357,168367,67595,29562,97157,71210,2022,'MACHADINHO DOESTE','RO',1100130,16997.0,1416.42,16997,1416.42,1,1048.0,1048.0,Pequeno II
13,13,110014,11324,8504,1438,4066,5504,3000,11110.0,8475.25,1370.58,4145.25,5515.83,2959.42,133320,101703,16447,49743,66190,35513,2022,'NOVA BRASILANDIA DOESTE','RO',1100148,2790.0,310.0,6028,502.33,1,794.0,794.0,Pequeno I
14,14,110015,17688,12823,2978,3375,6353,6470,16622.08,12116.92,2663.5,3413.92,6077.42,6039.5,199465,145403,31962,40967,72929,72474,2022,'OURO PRETO DO OESTE','RO',1100155,3352.0,279.33,3352,279.33,1,321.0,321.0,Pequeno II
15,15,110018,13095,9603,2158,2180,4338,5265,11576.0,8509.33,1861.75,2185.25,4047.0,4462.33,138912,102112,22341,26223,48564,53548,2022,'PIMENTA BUENO','RO',1100189,6466.0,538.83,6466,538.83,1,504.0,504.0,Pequeno II
16,16,110020,241179,204356,44061,106540,150601,53755,217230.0,184681.17,39297.75,95088.83,134386.58,50294.58,2606760,2216174,471573,1141066,1612639,603535,2022,'PORTO VELHO','RO',1100205,79287.0,1116.72,82379,1144.15,6,4547.0,4547.0,Grande
17,17,110025,13287,10543,1854,5297,7151,3392,13630.25,10504.25,1779.08,5337.5,7116.58,3387.67,163563,126051,21349,64050,85399,40652,2022,'PRESIDENTE MEDICI','RO',1100254,9230.0,769.17,9230,769.17,1,491.0,491.0,Pequeno II
18,18,110026,1742,1402,336,430,766,636,1621.75,1339.92,330.17,498.42,828.58,511.33,19461,16079,3962,5981,9943,6136,2022,'RIO CRESPO','RO',1100262,5150.0,429.17,5150,429.17,1,235.0,235.0,Pequeno I
19,19,110028,21750,15866,4369,1784,6153,9713,20448.0,15013.5,4093.0,2057.75,6150.75,8862.75,245376,180162,49116,24693,73809,106353,2022,'ROLIM DE MOURA','RO',1100288,2782.0,231.83,2782,231.83,1,112.0,112.0,Médio
20,20,110029,4439,3192,577,1272,1849,1343,4243.67,3046.17,560.0,1272.08,1832.08,1214.08,50924,36554,6720,15265,21985,14569,2022,'SANTA LUZIA DOESTE','RO',1100296,4404.0,367.0,4404,367.0,1,483.0,483.0,Pequeno I
21,21,110030,37847,28243,8716,4033,12749,15494,35185.33,26567.58,7622.75,4481.17,12103.92,14463.67,422224,318811,91473,53774,145247,173564,2022,'VILHENA','RO',1100304,1098.0,183.0,22811,1900.92,1,203.0,203.0,Médio
22,22,110032,11677,8025,2597,1469,4066,3959,10919.08,7656.17,2281.33,1705.42,3986.75,3669.42,131029,91874,27376,20465,47841,44033,2022,'SAO MIGUEL DO GUAPORE','RO',1100320,8183.0,681.92,8183,681.92,1,1268.0,1268.0,Pequeno II
23,23,110033,15871,13106,4278,4482,8760,4346,13887.75,11729.17,3880.33,3995.5,7875.83,3853.33,166653,140750,46564,47946,94510,46240,2022,'NOVA MAMORE','RO',1100338,5357.0,446.42,5357,446.42,1,338.0,338.0,Pequeno II
24,24,110034,8648,6877,2691,1762,4453,2424,8291.75,6666.5,2456.58,2127.08,4583.67,2082.83,99501,79998,29479,25525,55004,24994,2022,'ALVORADA DOESTE','RO',1100346,2766.0,230.5,2766,230.5,1,112.0,112.0,Pequeno I
25,25,110037,5335,4202,1172,1277,2449,1753,5226.58,4238.92,1028.42,1679.67,2708.08,1530.83,62719,50867,12341,20156,32497,18370,2022,'ALTO ALEGRE DOS PARECIS','RO',1100379,7344.0,612.0,7344,612.0,1,634.0,634.0,Pequeno I
26,26,110040,9272,7469,2121,1860,3981,3488,9026.08,7375.42,1944.17,2271.42,4215.58,3159.83,108313,88505,23330,27257,50587,37918,2022,'ALTO PARAISO','RO',1100403,5166.0,738.0,11027,918.92,1,742.0,742.0,Pequeno I
