,ano,municipio,municipio_aj,uf,ibge_6,ibge_7,soma_c1,soma_c1_original,media_c1,media_c1_original,total_max_cras,c1_dez_2022,c1_original_dez_2022,porte
0,2022,'RIO DE JANEIRO',Rio de Janeiro,'RJ',330455,3304557,1455179.0,2097010,121264.9,174750.8,47,104711.0,111090.0,Metrópole
1,2022,'FORTALEZA',Fortaleza,'CE',230440,2304400,738816.0,966566,61568.0,80547.2,27,60486.0,66025.0,Metrópole
2,2022,'SAO PAULO',São Paulo,'SP',355030,3550308,901863.0,953701,75155.2,79475.1,54,75198.0,83322.0,Metrópole
3,2022,'NOVA IGUACU',Nova Iguaçu,'RJ',330350,3303500,95299.0,527244,7941.6,43937.0,10,9949.0,34348.0,Grande
4,2022,'CURITIBA',Curitiba,'PR',410690,4106902,508362.0,508362,42363.5,42363.5,39,30141.0,30141.0,Metrópole
5,2022,'TERESINA',Teresina,'PI',221100,2211001,322554.0,463724,26879.5,38643.7,19,29682.0,29682.0,Grande
6,2022,'CAMPO GRANDE',Campo Grande,'MS',500270,5002704,309265.0,362750,25772.1,30229.2,21,22377.0,29431.0,Grande
7,2022,'MANAUS',Manaus,'AM',130260,1302603,350503.0,355518,29208.6,29626.5,20,20485.0,20485.0,Metrópole
8,2022,'GUARULHOS',Guarulhos,'SP',351880,3518800,305394.0,348166,25449.5,29013.8,12,19651.0,19651.0,Metrópole
9,2022,'CAUCAIA',Caucaia,'CE',230370,2303709,169689.0,328865,14140.8,27405.4,11,11556.0,18645.0,Grande
10,2022,'UBERLANDIA',Uberlândia,'MG',317020,3170206,215039.0,327854,17919.9,27321.2,13,20761.0,34237.0,Grande
11,2022,'ARACAJU',Aracaju,'SE',280030,2800308,253648.0,316012,21137.3,26334.3,17,18075.0,21127.0,Grande
12,2022,'SAO LUIS',São Luís,'MA',211130,2111300,300974.0,300974,25081.2,25081.2,20,11802.0,11802.0,Metrópole
13,2022,'BRASILIA',Brasília,'DF',530010,5300108,300262.0,300262,27296.5,27296.5,29,27645.0,27645.0,Metrópole
14,2022,'GOIANIA',Goiânia,'GO',520870,5208707,288419.0,295318,24034.9,24609.8,15,18737.0,18737.0,Metrópole
15,2022,'BELEM',Belém,'PA',150140,1501402,266617.0,272437,22218.1,22703.1,12,16525.0,16525.0,Metrópole
16,2022,'FOZ DO IGUACU',Foz do Iguaçu,'PR',410830,4108304,73550.0,261987,6129.2,21832.2,5,7460.0,17237.0,Grande
17,2022,'RECIFE',Recife,'PE',261160,2611606,245133.0,261250,20427.8,21770.8,14,16919.0,16919.0,Metrópole
18,2022,'SANTAREM',Santarém,'PA',150680,1506807,83831.0,254526,6985.9,21210.5,8,6258.0,14388.0,Grande
19,2022,'SAO GONCALO',São Gonçalo,'RJ',330490,3304904,236232.0,236232,19686.0,19686.0,15,13459.0,13459.0,Metrópole
20,2022,'PORTO ALEGRE',Porto Alegre,'RS',431490,4314902,224661.0,236058,18721.8,19671.5,22,13399.0,13399.0,Metrópole
21,2022,'MACEIO',Maceió,'AL',270430,2704302,222994.0,222994,18582.8,18582.8,16,14858.0,14858.0,Metrópole
22,2022,'CONTAGEM',Contagem,'MG',311860,3118601,146971.0,221674,12247.6,18472.8,10,14201.0,14201.0,Grande
23,2022,'BETIM',Betim,'MG',310670,3106705,198622.0,208594,16551.8,17382.8,16,13307.0,13307.0,Grande
24,2022,'ANAPOLIS',Anápolis,'GO',520110,5201108,59709.0,199954,4975.8,16662.8,4,2450.0,12950.0,Grande
25,2022,'SAO JOSE DOS CAMPOS',São José Dos Campos,'SP',354990,3549904,142951.0,195593,11912.6,16299.4,9,11523.0,11523.0,Grande
26,2022,'BOA VISTA',Boa Vista,'RR',140010,1400100,107828.0,193671,8985.7,16139.2,7,10727.0,14259.0,Grande
27,2022,'NATAL',Natal,'RN',240810,2408102,172590.0,185826,14382.5,15485.5,12,10176.0,10176.0,Grande
