,ibge_6,ano,valor,codigo_ibge,nome,latitude,longitude
0,110001,2012-2013,1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
1,110001,2013-2014,1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
2,110001,2014-2015,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
3,110001,2015-2016,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
4,110001,2016-2017,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
5,110001,2017-2018,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
6,110001,2018-2019,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
7,110001,2019-2020,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
8,110001,2020-2021,1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
9,110001,2021-2022,1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
10,110001,2022-2023,-1,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
11,110002,2012-2013,1,110002,Ariquemes,-9.90571,-63.0325
12,110002,2013-2014,1,110002,Ariquemes,-9.90571,-63.0325
13,110002,2014-2015,-1,110002,Ariquemes,-9.90571,-63.0325
14,110002,2015-2016,-1,110002,Ariquemes,-9.90571,-63.0325
15,110002,2016-2017,1,110002,Ariquemes,-9.90571,-63.0325
16,110002,2017-2018,-1,110002,Ariquemes,-9.90571,-63.0325
17,110002,2018-2019,-1,110002,Ariquemes,-9.90571,-63.0325
18,110002,2019-2020,1,110002,Ariquemes,-9.90571,-63.0325
19,110002,2020-2021,1,110002,Ariquemes,-9.90571,-63.0325
20,110002,2021-2022,1,110002,Ariquemes,-9.90571,-63.0325
21,110002,2022-2023,-1,110002,Ariquemes,-9.90571,-63.0325
22,110003,2012-2013,-1,110003,Cabixi,-13.4945,-60.552
23,110003,2013-2014,-1,110003,Cabixi,-13.4945,-60.552
24,110003,2014-2015,-1,110003,Cabixi,-13.4945,-60.552
25,110003,2015-2016,-1,110003,Cabixi,-13.4945,-60.552
26,110003,2016-2017,-1,110003,Cabixi,-13.4945,-60.552
27,110003,2017-2018,-1,110003,Cabixi,-13.4945,-60.552
28,110003,2018-2019,-1,110003,Cabixi,-13.4945,-60.552
29,110003,2019-2020,-1,110003,Cabixi,-13.4945,-60.552
30,110003,2020-2021,1,110003,Cabixi,-13.4945,-60.552
31,110003,2021-2022,1,110003,Cabixi,-13.4945,-60.552
32,110003,2022-2023,-1,110003,Cabixi,-13.4945,-60.552
33,110004,2012-2013,-1,110004,Cacoal,-11.4343,-61.4562
34,110004,2013-2014,-1,110004,Cacoal,-11.4343,-61.4562
35,110004,2014-2015,-1,110004,Cacoal,-11.4343,-61.4562
36,110004,2015-2016,-1,110004,Cacoal,-11.4343,-61.4562
37,110004,2016-2017,-1,110004,Cacoal,-11.4343,-61.4562
38,110004,2017-2018,-1,110004,Cacoal,-11.4343,-61.4562
39,110004,2018-2019,1,110004,Cacoal,-11.4343,-61.4562
40,110004,2019-2020,1,110004,Cacoal,-11.4343,-61.4562
41,110004,2020-2021,1,110004,Cacoal,-11.4343,-61.4562
42,110004,2021-2022,1,110004,Cacoal,-11.4343,-61.4562
43,110004,2022-2023,-1,110004,Cacoal,-11.4343,-61.4562
44,110005,2012-2013,-1,110005,Cerejeiras,-13.187,-60.8168
45,110005,2013-2014,-1,110005,Cerejeiras,-13.187,-60.8168
46,110005,2014-2015,-1,110005,Cerejeiras,-13.187,-60.8168
47,110005,2015-2016,-1,110005,Cerejeiras,-13.187,-60.8168
48,110005,2016-2017,-1,110005,Cerejeiras,-13.187,-60.8168
49,110005,2017-2018,-1,110005,Cerejeiras,-13.187,-60.8168
50,110005,2018-2019,1,110005,Cerejeiras,-13.187,-60.8168
51,110005,2019-2020,0,110005,Cerejeiras,-13.187,-60.8168
52,110005,2020-2021,1,110005,Cerejeiras,-13.187,-60.8168
53,110005,2021-2022,1,110005,Cerejeiras,-13.187,-60.8168
54,110005,2022-2023,-1,110005,Cerejeiras,-13.187,-60.8168
55,110006,2012-2013,-1,110006,Colorado do Oeste,-13.1174,-60.5454
56,110006,2013-2014,1,110006,Colorado do Oeste,-13.1174,-60.5454
57,110006,2014-2015,-1,110006,Colorado do Oeste,-13.1174,-60.5454
58,110006,2015-2016,-1,110006,Colorado do Oeste,-13.1174,-60.5454
59,110006,2016-2017,-1,110006,Colorado do Oeste,-13.1174,-60.5454
60,110006,2017-2018,-1,110006,Colorado do Oeste,-13.1174,-60.5454
61,110006,2018-2019,1,110006,Colorado do Oeste,-13.1174,-60.5454
62,110006,2019-2020,-1,110006,Colorado do Oeste,-13.1174,-60.5454
63,110006,2020-2021,-1,110006,Colorado do Oeste,-13.1174,-60.5454
64,110006,2021-2022,1,110006,Colorado do Oeste,-13.1174,-60.5454
65,110006,2022-2023,-1,110006,Colorado do Oeste,-13.1174,-60.5454
66,110007,2012-2013,1,110007,Corumbiara,-12.9551,-60.8947
67,110007,2013-2014,1,110007,Corumbiara,-12.9551,-60.8947
68,110007,2014-2015,-1,110007,Corumbiara,-12.9551,-60.8947
69,110007,2015-2016,-1,110007,Corumbiara,-12.9551,-60.8947
70,110007,2016-2017,-1,110007,Corumbiara,-12.9551,-60.8947
71,110007,2017-2018,-1,110007,Corumbiara,-12.9551,-60.8947
72,110007,2018-2019,-1,110007,Corumbiara,-12.9551,-60.8947
73,110007,2019-2020,-1,110007,Corumbiara,-12.9551,-60.8947
74,110007,2020-2021,1,110007,Corumbiara,-12.9551,-60.8947
75,110007,2021-2022,1,110007,Corumbiara,-12.9551,-60.8947
76,110007,2022-2023,-1,110007,Corumbiara,-12.9551,-60.8947
77,110008,2012-2013,1,110008,Costa Marques,-12.4367,-64.228
78,110008,2013-2014,1,110008,Costa Marques,-12.4367,-64.228
79,110008,2014-2015,-1,110008,Costa Marques,-12.4367,-64.228
80,110008,2015-2016,-1,110008,Costa Marques,-12.4367,-64.228
81,110008,2016-2017,1,110008,Costa Marques,-12.4367,-64.228
82,110008,2017-2018,-1,110008,Costa Marques,-12.4367,-64.228
83,110008,2018-2019,-1,110008,Costa Marques,-12.4367,-64.228
84,110008,2019-2020,1,110008,Costa Marques,-12.4367,-64.228
