,ibge_6,qtd_fam_beneficiadas,cadunico_fam_rpc_ate_meio_sm,cadunico_fam_pob_e_ext_pob,ibge_7,city,pbf_cadUnico_pob_ep,pbf_cadUnico_ate_meio_sm,indice_bf,cl_indice_bf,cadunico_tot_fam,cadunico_tot_fam_pob,cadunico_tot_fam_ext_pob,cadunico_tot_fam_rpc_ate_meio_sm,anomes,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f,anomes_s
0,110001,1755,2916,1547,1100015,Alta Floresta D''Oeste,113.4453781512605,60.18518518518518,"(100, 400]",6,4863,753,794,2916,202308,1755,1210767.0,689.9,202309
1,110002,6398,11545,6152,1100023,Ariquemes,103.99869960988298,55.41792983975748,"(100, 400]",6,18435,2826,3326,11545,202308,6398,4405009.0,688.61,202309
2,110003,318,596,271,1100031,Cabixi,117.34317343173433,53.355704697986575,"(100, 400]",6,933,159,112,596,202308,318,211170.0,668.26,202309
3,110004,5904,10222,5769,1100049,Cacoal,102.34009360374414,57.75777734298572,"(100, 400]",6,18058,2302,3467,10222,202308,5904,4068418.0,689.21,202309
4,110005,1085,1876,1085,1100056,Cerejeiras,100.0,57.83582089552238,"(95, 100]",5,3136,531,554,1876,202308,1085,785131.0,723.62,202309
5,110006,456,1008,404,1100064,Colorado do Oeste,112.87128712871286,45.23809523809524,"(100, 400]",6,1829,205,199,1008,202308,456,320515.0,702.88,202309
6,110007,363,755,339,1100072,Corumbiara,107.07964601769913,48.079470198675494,"(100, 400]",6,1481,207,132,755,202308,363,246390.0,678.76,202309
7,110008,2105,2990,2200,1100080,Costa Marques,95.68181818181817,70.40133779264214,"(95, 100]",5,4386,636,1564,2990,202308,2105,1520822.0,727.32,202309
8,110009,1910,3169,1581,1100098,Espigão D''Oeste,120.80961416824793,60.2713789839066,"(100, 400]",6,5625,690,891,3169,202308,1910,1301406.0,681.36,202309
9,110010,4826,7272,5074,1100106,Guajará-Mirim,95.11233740638549,66.36413641364136,"(95, 100]",5,10287,1940,3134,7272,202308,4826,3779779.0,788.77,202309
10,110011,3144,5939,2915,1100114,Jaru,107.85591766723843,52.93820508503116,"(100, 400]",6,9783,1665,1250,5939,202308,3144,2129486.0,677.32,202309
11,110012,6486,13016,6861,1100122,Ji-Paraná,94.53432444250109,49.83097725875845,"(90, 95]",4,22882,3299,3562,13016,202308,6486,4580601.0,706.99,202309
12,110013,2747,4758,2534,1100130,Machadinho D''Oeste,108.40568271507497,57.73434216057167,"(100, 400]",6,7599,1783,751,4758,202308,2747,1930769.0,705.95,202309
13,110014,1744,2744,1615,1100148,Nova Brasilândia D''Oeste,107.98761609907122,63.55685131195335,"(100, 400]",6,4712,533,1082,2744,202308,1744,1156022.0,663.62,202309
14,110015,2357,4346,2367,1100155,Ouro Preto do Oeste,99.57752429235319,54.23377818683848,"(95, 100]",5,7734,1063,1304,4346,202308,2357,1626006.0,690.16,202309
15,110018,1526,3064,1467,1100189,Pimenta Bueno,104.0218132242672,49.80417754569191,"(100, 400]",6,5871,728,739,3064,202308,1526,1053117.0,690.12,202309
16,110020,46292,83292,60607,1100205,Porto Velho,76.38061610045044,55.57796667146905,"(40, 80]",1,122321,17337,43270,83292,202308,46292,31759672.0,699.43,202309
17,110025,2357,3547,2344,1100254,Presidente Médici,100.55460750853243,66.45052156752185,"(100, 400]",6,5907,589,1755,3547,202308,2357,1573424.0,669.26,202309
18,110026,227,429,219,1100262,Rio Crespo,103.65296803652969,52.91375291375291,"(100, 400]",6,721,102,117,429,202308,227,158761.0,699.39,202309
19,110028,2010,4913,1764,1100288,Rolim de Moura,113.94557823129252,40.911866476694485,"(100, 400]",6,9406,1283,481,4913,202308,2010,1366195.0,680.38,202309
20,110029,604,1003,606,1100296,Santa Luzia D''Oeste,99.66996699669967,60.219341974077764,"(95, 100]",5,1945,201,405,1003,202308,604,414648.0,686.5,202309
21,110030,4367,9717,4332,1100304,Vilhena,100.80794090489383,44.94185448183596,"(100, 400]",6,18479,2940,1392,9717,202308,4367,3101481.0,710.53,202309
22,110032,1266,2459,1175,1100320,São Miguel do Guaporé,107.74468085106383,51.484343228954856,"(100, 400]",6,4698,788,387,2459,202308,1266,871825.0,688.65,202309
23,110033,2595,4153,2639,1100338,Nova Mamoré,98.33270178097764,62.48495063809294,"(95, 100]",5,5904,1229,1410,4153,202308,2595,1948629.0,752.08,202309
24,110034,1402,2312,1368,1100346,Alvorada D''Oeste,102.48538011695906,60.6401384083045,"(100, 400]",6,3914,867,501,2312,202308,1402,978107.0,697.65,202309
25,110037,686,1135,578,1100379,Alto Alegre dos Parecis,118.68512110726644,60.440528634361236,"(100, 400]",6,1834,312,266,1135,202308,686,466350.0,679.81,202309
26,110040,1297,2304,1139,1100403,Alto Paraíso,113.87181738366989,56.29340277777778,"(100, 400]",6,3667,651,488,2304,202308,1297,888944.0,686.44,202309
27,110045,2136,3626,2089,1100452,Buritis,102.24988032551461,58.907887479316045,"(100, 400]",6,5655,1053,1036,3626,202308,2136,1501771.0,703.41,202309
28,110050,568,1121,484,1100502,Novo Horizonte do Oeste,117.35537190082646,50.66904549509367,"(100, 400]",6,2098,377,107,1121,202308,568,373417.0,657.42,202309
29,110060,334,634,300,1100601,Cacaulândia,111.33333333333333,52.6813880126183,"(100, 400]",6,1166,179,121,634,202308,334,227736.0,681.84,202309
30,110070,652,1159,595,1100700,Campo Novo de Rondônia,109.57983193277312,56.255392579810184,"(100, 400]",6,1797,342,253,1159,202308,652,447261.0,685.98,202309
31,110080,3256,5458,3856,1100809,Candeias do Jamari,84.43983402489627,59.6555514840601,"(80, 85]",2,8112,1323,2533,5458,202308,3256,2270548.0,702.96,202309
32,110090,264,450,258,1100908,Castanheiras,102.32558139534885,58.666666666666664,"(100, 400]",6,750,122,136,450,202308,264,185033.0,700.88,202309
33,110092,769,1095,785,1100924,Chupinguaia,97.96178343949045,70.22831050228311,"(95, 100]",5,1760,265,520,1095,202308,769,565123.0,734.88,202309
34,110094,1375,2407,1204,1100940,Cujubim,114.20265780730897,57.125051931865386,"(100, 400]",6,3589,772,432,2407,202308,1375,963358.0,700.62,202309
35,110100,1006,1517,980,1101005,Governador Jorge Teixeira,102.6530612244898,66.31509558338826,"(100, 400]",6,2132,552,428,1517,202308,1006,702344.0,698.16,202309
36,110110,755,1428,644,1101104,Itapuã do Oeste,117.23602484472049,52.871148459383754,"(100, 400]",6,2310,422,222,1428,202308,755,518287.0,709.98,202309
37,110120,609,1008,546,1101203,Ministro Andreazza,111.53846153846155,60.416666666666664,"(100, 400]",6,1679,285,261,1008,202308,609,407522.0,669.17,202309
38,110130,603,1702,629,1101302,Mirante da Serra,95.86645468998411,35.428907168037604,"(95, 100]",5,3275,440,189,1702,202308,603,417908.0,693.05,202309
