,Ano,UF,municipio,pib_pc,Ranking,QuintilRank,ipib_pc,classes,ibge_6
55868,2020,PA,Canaã dos Carajás,591101.11,1.0,décimo décimo,591101.11,100k+,150215
60859,2020,MS,Selvíria,406011.0,2.0,décimo décimo,406011.0,100k+,500780
59260,2020,SP,Louveira,357104.23,3.0,décimo décimo,357104.23,100k+,352730
59362,2020,SP,Paulínia,344390.47,4.0,décimo décimo,344390.47,100k+,353650
59144,2020,SP,Gavião Peixoto,333943.43,5.0,décimo décimo,333943.43,100k+,351685
58208,2020,MG,Extrema,311128.82,6.0,décimo décimo,311128.82,100k+,312510
59184,2020,SP,Ilhabela,302099.4,7.0,décimo décimo,302099.4,100k+,352040
58840,2020,ES,Presidente Kennedy,301474.89,8.0,décimo décimo,301474.89,100k+,320430
57868,2020,BA,São Francisco do Conde,296357.52,9.0,décimo décimo,296357.52,100k+,292920
61085,2020,GO,Davinópolis,288689.93,10.0,décimo décimo,288689.93,100k+,520690
60890,2020,MT,Campos de Júlio,270716.88,11.0,décimo décimo,270716.88,100k+,510268
59055,2020,SP,Cajamar,266875.13,12.0,décimo décimo,266875.13,100k+,350920
56336,2020,MA,Tasso Fragoso,260020.65,13.0,décimo décimo,260020.65,100k+,211200
60984,2020,MT,Santa Rita do Trivelato,256227.98,14.0,décimo décimo,256227.98,100k+,510776
58330,2020,MG,Jeceaba,256221.87,15.0,décimo décimo,256221.87,100k+,313540
59421,2020,SP,Queiroz,251248.25,16.0,décimo décimo,251248.25,100k+,354180
55978,2020,PA,Vitória do Xingu,250970.45,17.0,décimo décimo,250970.45,100k+,150835
60753,2020,RS,Triunfo,241634.52,18.0,décimo décimo,241634.52,100k+,432200
60495,2020,RS,Imigrante,240070.4,19.0,décimo décimo,240070.4,100k+,431036
58120,2020,MG,Conceição do Mato Dentro,239333.24,20.0,décimo décimo,239333.24,100k+,311750
60556,2020,RS,Muitos Capões,228470.49,21.0,décimo décimo,228470.49,100k+,431261
58650,2020,MG,São Gonçalo do Rio Abaixo,224983.89,22.0,décimo décimo,224983.89,100k+,316190
58900,2020,RJ,Maricá,216519.52,23.0,décimo décimo,216519.52,100k+,330270
57969,2020,MG,Araporã,210970.72,24.0,décimo décimo,210970.72,100k+,310375
58095,2020,MG,Catas Altas,201806.62,25.0,décimo décimo,201806.62,100k+,311535
60193,2020,SC,Piratuba,198923.18,26.0,décimo décimo,198923.18,100k+,421310
59232,2020,SP,Jaguariúna,195909.31,27.0,décimo décimo,195909.31,100k+,352470
59016,2020,SP,Barueri,185046.58,28.0,décimo décimo,185046.58,100k+,350570
60946,2020,MT,Nova Ubiratã,184589.24,29.0,décimo décimo,184589.24,100k+,510624
60605,2020,RS,Pinhal Grande,181298.37,30.0,décimo décimo,181298.37,100k+,431447
55925,2020,PA,Parauapebas,177992.21,31.0,décimo décimo,177992.21,100k+,150553
58933,2020,RJ,São João da Barra,177439.19,32.0,décimo décimo,177439.19,100k+,330500
60962,2020,MT,Porto dos Gaúchos,176857.16,33.0,décimo décimo,176857.16,100k+,510680
61071,2020,GO,Chapadão do Céu,174999.62,34.0,décimo décimo,174999.62,100k+,520547
60917,2020,MT,Ipiranga do Norte,167568.41,35.0,décimo décimo,167568.41,100k+,510452
58940,2020,RJ,Saquarema,167325.94,36.0,décimo décimo,167325.94,100k+,330550
58309,2020,MG,Itatiaiuçu,164890.77,37.0,décimo décimo,164890.77,100k+,313370
56304,2020,MA,Santo Antônio dos Lopes,164565.58,38.0,décimo décimo,164565.58,100k+,211030
60367,2020,RS,Candiota,163593.81,39.0,décimo décimo,163593.81,100k+,430435
60845,2020,MS,Paraíso das Águas,159719.58,40.0,décimo décimo,159719.58,100k+,500627
60310,2020,RS,Aratiba,159159.49,41.0,décimo décimo,159159.49,100k+,430090
60967,2020,MT,Querência,155873.63,42.0,décimo décimo,155873.63,100k+,510706
56886,2020,RN,São Bento do Norte,153580.64,43.0,décimo décimo,153580.64,100k+,241160
61187,2020,GO,Perolândia,151572.82,44.0,décimo décimo,151572.82,100k+,521645
60907,2020,MT,Diamantino,151414.28,45.0,décimo décimo,151414.28,100k+,510350
60357,2020,RS,Camargo,149400.18,46.0,décimo décimo,149400.18,100k+,430355
60121,2020,SC,Itajaí,148284.92,47.0,décimo décimo,148284.92,100k+,420820
57646,2020,BA,Formosa do Rio Preto,147092.01,48.0,décimo décimo,147092.01,100k+,291110
60973,2020,MT,Santa Carmem,146840.87,49.0,décimo décimo,146840.87,100k+,510724
58893,2020,RJ,Itatiaia,143113.69,50.0,décimo décimo,143113.69,100k+,330225
57863,2020,BA,São Desidério,141048.44,51.0,décimo décimo,141048.44,100k+,292890
58982,2020,SP,Araçariguama,140809.35,52.0,décimo décimo,140809.35,100k+,350275
60989,2020,MT,Sapezal,140079.54,53.0,décimo décimo,140079.54,100k+,510787
59448,2020,SP,Rosana,139866.39,54.0,décimo décimo,139866.39,100k+,354425
60013,2020,SC,Araquari,139432.89,55.0,décimo décimo,139432.89,100k+,420130
57228,2020,PE,Ipojuca,139391.96,56.0,décimo décimo,139391.96,100k+,260720
59225,2020,SP,Itupeva,135298.79,57.0,décimo décimo,135298.79,100k+,352400
59618,2020,PR,Araucária,134901.01,58.0,décimo décimo,134901.01,100k+,410180
61038,2020,GO,Barro Alto,133652.6,59.0,décimo décimo,133652.6,100k+,520320
59090,2020,SP,Cordeirópolis,132627.29,60.0,décimo décimo,132627.29,100k+,351240
59588,2020,SP,Vinhedo,130500.02,61.0,décimo décimo,130500.02,100k+,355670
60986,2020,MT,Santo Antônio do Leste,130294.04,62.0,décimo décimo,130294.04,100k+,510779
57421,2020,AL,Santana do Mundaú,129102.68,63.0,décimo décimo,129102.68,100k+,270810
60888,2020,MT,Campo Novo do Parecis,127547.83,64.0,décimo décimo,127547.83,100k+,510263
58448,2020,MG,Nova Lima,126993.16,65.0,décimo décimo,126993.16,100k+,314480
58291,2020,MG,Itabirito,126859.47,66.0,décimo décimo,126859.47,100k+,313190
59957,2020,PR,Saudade do Iguaçu,125803.78,67.0,décimo décimo,125803.78,100k+,412627
56863,2020,RN,Pedra Grande,124924.52,68.0,décimo décimo,124924.52,100k+,240950
59839,2020,PR,Ortigueira,123835.0,69.0,décimo décimo,123835.0,100k+,411730
58728,2020,MG,Tapira,122976.59,70.0,décimo décimo,122976.59,100k+,316810
59524,2020,SP,Sebastianópolis do Sul,122735.22,71.0,décimo décimo,122735.22,100k+,355130
58918,2020,RJ,Porto Real,121817.6,72.0,décimo décimo,121817.6,100k+,330411
58921,2020,RJ,Quissamã,121304.16,73.0,décimo décimo,121304.16,100k+,330415
59245,2020,SP,Jundiaí,121121.33,74.0,décimo décimo,121121.33,100k+,352590
59101,2020,SP,Cubatão,120940.49,75.0,décimo décimo,120940.49,100k+,351350
58965,2020,SP,Alumínio,119952.09,76.0,décimo décimo,119952.09,100k+,350115
56777,2020,RN,Bodó,119380.48,77.0,décimo décimo,119380.48,100k+,240165
61017,2020,GO,Alto Horizonte,119081.22,78.0,décimo décimo,119081.22,100k+,520055
59193,2020,SP,Ipeúna,118999.48,79.0,décimo décimo,118999.48,100k+,352110
60950,2020,MT,Novo São Joaquim,118329.95,80.0,décimo décimo,118329.95,100k+,510628
60281,2020,SC,Vargem Bonita,116313.83,81.0,décimo décimo,116313.83,100k+,421917
58465,2020,MG,Ouro Branco,114801.85,82.0,décimo décimo,114801.85,100k+,314590
59644,2020,PR,Cafelândia,113468.44,83.0,décimo décimo,113468.44,100k+,410345
57717,2020,BA,Jaborandi,113379.41,84.0,décimo décimo,113379.41,100k+,291735
60604,2020,RS,Pinhal da Serra,111781.67,85.0,décimo décimo,111781.67,100k+,431446
56934,2020,PB,Alhandra,111427.12,86.0,décimo décimo,111427.12,100k+,250060
60920,2020,MT,Itiquira,110925.03,87.0,décimo décimo,110925.03,100k+,510460
56209,2020,MA,Godofredo Viana,110710.83,88.0,décimo décimo,110710.83,100k+,210430
61186,2020,GO,Paraúna,110587.64,89.0,décimo décimo,110587.64,100k+,521640
60911,2020,MT,Gaúcha do Norte,110007.97,90.0,décimo décimo,110007.97,100k+,510385
56809,2020,RN,Guamaré,109101.78,91.0,décimo décimo,109101.78,100k+,240450
59339,2020,SP,Osasco,109025.6,92.0,décimo décimo,109025.6,100k+,353440
58667,2020,MG,São José da Barra,108329.2,93.0,décimo décimo,108329.2,100k+,316294
59284,2020,SP,Meridiano,106286.14,94.0,décimo décimo,106286.14,100k+,352960
56369,2020,PI,Baixa Grande do Ribeiro,105367.32,95.0,décimo décimo,105367.32,100k+,220115
59745,2020,PR,Indianópolis,104627.04,96.0,décimo décimo,104627.04,100k+,411040
59047,2020,SP,Cabreúva,104273.37,97.0,décimo décimo,104273.37,100k+,350840
57447,2020,SE,Canindé de São Francisco,103993.3,98.0,décimo décimo,103993.3,100k+,280120
60977,2020,MT,São José do Xingu,103985.03,99.0,décimo décimo,103985.03,100k+,510735
60758,2020,RS,Tupandi,102800.57,100.0,décimo décimo,102800.57,100k+,432225
60381,2020,RS,Carlos Barbosa,101799.46,101.0,décimo décimo,101799.46,100k+,430480
59076,2020,SP,Cássia dos Coqueiros,101646.04,102.0,décimo décimo,101646.04,100k+,351090
60988,2020,MT,São Félix do Araguaia,100626.93,103.0,décimo décimo,100626.93,100k+,510785
59462,2020,SP,Sandovalina,100309.54,104.0,décimo décimo,100309.54,100k+,354550
60372,2020,RS,Capão Bonito do Sul,100232.76,105.0,décimo décimo,100232.76,100k+,430462
60833,2020,MS,Jateí,99933.83,106.0,décimo décimo,99933.83,80k-100k,500510
60944,2020,MT,Nova Mutum,99281.53,107.0,décimo décimo,99281.53,80k-100k,510622
58994,2020,SP,Ariranha,99204.4,108.0,décimo décimo,99204.4,80k-100k,350370
60995,2020,MT,Tapurah,98438.6,109.0,décimo décimo,98438.6,80k-100k,510800
59474,2020,SP,Santa Gertrudes,98302.42,110.0,décimo décimo,98302.42,80k-100k,354670
60992,2020,MT,Sorriso,98278.56,111.0,décimo décimo,98278.56,80k-100k,510792
60836,2020,MS,Laguna Carapã,97817.25,112.0,décimo décimo,97817.25,80k-100k,500525
60270,2020,SC,Treze Tílias,96747.64,113.0,décimo décimo,96747.64,80k-100k,421850
59331,2020,SP,Nuporanga,96727.85,114.0,décimo décimo,96727.85,80k-100k,353360
59276,2020,SP,Marapoama,96543.8,115.0,décimo décimo,96543.8,80k-100k,352885
60999,2020,MT,União do Sul,96472.95,116.0,décimo décimo,96472.95,80k-100k,510830
61088,2020,GO,Edealina,95170.07,117.0,décimo décimo,95170.07,80k-100k,520735
59263,2020,SP,Luís Antônio,94852.81,118.0,décimo décimo,94852.81,80k-100k,352760
60298,2020,RS,Almirante Tamandaré do Sul,94337.32,119.0,décimo décimo,94337.32,80k-100k,430047
60865,2020,MS,Três Lagoas,94305.67,120.0,décimo décimo,94305.67,80k-100k,500830
61005,2020,MT,Nova Marilândia,94153.66,121.0,décimo décimo,94153.66,80k-100k,510885
59797,2020,PR,Mangueirinha,93856.18,122.0,décimo décimo,93856.18,80k-100k,411440
58817,2020,ES,Itapemirim,93609.55,123.0,décimo décimo,93609.55,80k-100k,320280
57218,2020,PE,Goiana,93304.73,124.0,décimo décimo,93304.73,80k-100k,260620
59934,2020,PR,Santo Inácio,93266.41,125.0,décimo décimo,93266.41,80k-100k,412450
58826,2020,ES,Marataízes,93156.7,126.0,décimo décimo,93156.7,80k-100k,320332
60814,2020,MS,Costa Rica,93009.6,127.0,décimo décimo,93009.6,80k-100k,500325
59034,2020,SP,Boracéia,92233.02,128.0,décimo décimo,92233.02,80k-100k,350730
60292,2020,RS,Água Santa,92000.57,129.0,décimo décimo,92000.57,80k-100k,430005
58125,2020,MG,Confins,91747.68,130.0,décimo décimo,91747.68,80k-100k,311787
