COD_MUN;Município;UF;Município - UF;Mês;2022
643;Acrelândia;AC;Acrelândia - AC;1;962.058,02
643;Acrelândia;AC;Acrelândia - AC;2;1.342.951,89
643;Acrelândia;AC;Acrelândia - AC;3;814.151,92
643;Acrelândia;AC;Acrelândia - AC;4;965.058,31
643;Acrelândia;AC;Acrelândia - AC;5;1.073.531,06
643;Acrelândia;AC;Acrelândia - AC;6;1.004.493,20
643;Acrelândia;AC;Acrelândia - AC;7;1.474.610,27
643;Acrelândia;AC;Acrelândia - AC;8;982.290,00
643;Acrelândia;AC;Acrelândia - AC;9;926.831,29
643;Acrelândia;AC;Acrelândia - AC;10;860.767,50
643;Acrelândia;AC;Acrelândia - AC;11;1.081.828,06
643;Acrelândia;AC;Acrelândia - AC;12;1.811.726,87
157;Assis Brasil;AC;Assis Brasil - AC;1;577.234,83
157;Assis Brasil;AC;Assis Brasil - AC;2;805.771,15
157;Assis Brasil;AC;Assis Brasil - AC;3;488.491,15
157;Assis Brasil;AC;Assis Brasil - AC;4;579.035,00
157;Assis Brasil;AC;Assis Brasil - AC;5;644.118,65
157;Assis Brasil;AC;Assis Brasil - AC;6;602.695,93
157;Assis Brasil;AC;Assis Brasil - AC;7;884.766,17
157;Assis Brasil;AC;Assis Brasil - AC;8;589.374,00
157;Assis Brasil;AC;Assis Brasil - AC;9;556.098,80
157;Assis Brasil;AC;Assis Brasil - AC;10;516.460,52
157;Assis Brasil;AC;Assis Brasil - AC;11;649.096,85
157;Assis Brasil;AC;Assis Brasil - AC;12;1.087.036,13
105;Brasiléia;AC;Brasiléia - AC;1;1.346.881,24
105;Brasiléia;AC;Brasiléia - AC;2;1.880.132,61
105;Brasiléia;AC;Brasiléia - AC;3;1.139.812,69
105;Brasiléia;AC;Brasiléia - AC;4;1.351.081,65
105;Brasiléia;AC;Brasiléia - AC;5;1.502.943,49
105;Brasiléia;AC;Brasiléia - AC;6;1.406.290,45
105;Brasiléia;AC;Brasiléia - AC;7;2.064.454,37
105;Brasiléia;AC;Brasiléia - AC;8;1.375.205,97
105;Brasiléia;AC;Brasiléia - AC;9;1.297.563,81
105;Brasiléia;AC;Brasiléia - AC;10;1.205.074,47
105;Brasiléia;AC;Brasiléia - AC;11;1.514.559,24
105;Brasiléia;AC;Brasiléia - AC;12;2.536.417,61
645;Bujari;AC;Bujari - AC;1;769.646,45
645;Bujari;AC;Bujari - AC;2;1.074.361,50
645;Bujari;AC;Bujari - AC;3;651.321,55
645;Bujari;AC;Bujari - AC;4;772.046,65
645;Bujari;AC;Bujari - AC;5;858.824,86
645;Bujari;AC;Bujari - AC;6;803.594,55
645;Bujari;AC;Bujari - AC;7;1.179.688,20
645;Bujari;AC;Bujari - AC;8;785.831,99
645;Bujari;AC;Bujari - AC;9;741.465,03
645;Bujari;AC;Bujari - AC;10;688.614,01
645;Bujari;AC;Bujari - AC;11;865.462,43
645;Bujari;AC;Bujari - AC;12;1.449.381,50
647;Capixaba;AC;Capixaba - AC;1;769.646,45
647;Capixaba;AC;Capixaba - AC;2;1.074.361,50
647;Capixaba;AC;Capixaba - AC;3;651.321,55
647;Capixaba;AC;Capixaba - AC;4;772.046,65
647;Capixaba;AC;Capixaba - AC;5;858.824,86
647;Capixaba;AC;Capixaba - AC;6;803.594,55
647;Capixaba;AC;Capixaba - AC;7;1.179.688,20
647;Capixaba;AC;Capixaba - AC;8;785.831,99
647;Capixaba;AC;Capixaba - AC;9;741.465,03
647;Capixaba;AC;Capixaba - AC;10;688.614,01
647;Capixaba;AC;Capixaba - AC;11;865.462,43
647;Capixaba;AC;Capixaba - AC;12;1.449.381,50
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;1;2.693.762,44
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;2;3.760.265,22
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;3;2.279.625,36
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;4;2.702.163,26
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;5;3.005.886,97
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;6;2.812.580,87
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;7;4.128.908,69
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;8;2.750.411,93
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;9;2.595.127,58
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;10;2.410.148,93
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;11;3.029.118,47
107;Cruzeiro do Sul;AC;Cruzeiro do Sul - AC;12;5.072.835,18
651;Epitaciolândia;AC;Epitaciolândia - AC;1;1.154.469,62
651;Epitaciolândia;AC;Epitaciolândia - AC;2;1.611.542,25
651;Epitaciolândia;AC;Epitaciolândia - AC;3;976.982,30
651;Epitaciolândia;AC;Epitaciolândia - AC;4;1.158.069,96
651;Epitaciolândia;AC;Epitaciolândia - AC;5;1.288.237,28
651;Epitaciolândia;AC;Epitaciolândia - AC;6;1.205.391,82
651;Epitaciolândia;AC;Epitaciolândia - AC;7;1.769.532,29
651;Epitaciolândia;AC;Epitaciolândia - AC;8;1.178.747,98
651;Epitaciolândia;AC;Epitaciolândia - AC;9;1.112.197,54
651;Epitaciolândia;AC;Epitaciolândia - AC;10;1.032.920,98
651;Epitaciolândia;AC;Epitaciolândia - AC;11;1.298.193,64
651;Epitaciolândia;AC;Epitaciolândia - AC;12;2.174.072,23
113;Feijó;AC;Feijó - AC;1;1.539.292,82
113;Feijó;AC;Feijó - AC;2;2.148.723,00
113;Feijó;AC;Feijó - AC;3;1.302.643,06
113;Feijó;AC;Feijó - AC;4;1.544.093,29
113;Feijó;AC;Feijó - AC;5;1.717.649,70
113;Feijó;AC;Feijó - AC;6;1.607.189,08
113;Feijó;AC;Feijó - AC;7;2.359.376,39
113;Feijó;AC;Feijó - AC;8;1.571.663,97
113;Feijó;AC;Feijó - AC;9;1.482.930,05
113;Feijó;AC;Feijó - AC;10;1.377.227,97
113;Feijó;AC;Feijó - AC;11;1.730.924,87
113;Feijó;AC;Feijó - AC;12;2.898.762,97
653;Jordão;AC;Jordão - AC;1;577.234,83
653;Jordão;AC;Jordão - AC;2;805.771,15
653;Jordão;AC;Jordão - AC;3;488.491,15
653;Jordão;AC;Jordão - AC;4;579.035,00
653;Jordão;AC;Jordão - AC;5;644.118,65
653;Jordão;AC;Jordão - AC;6;602.695,93
653;Jordão;AC;Jordão - AC;7;884.766,17
653;Jordão;AC;Jordão - AC;8;589.374,00
653;Jordão;AC;Jordão - AC;9;556.098,80
653;Jordão;AC;Jordão - AC;10;516.460,52
653;Jordão;AC;Jordão - AC;11;649.096,85
653;Jordão;AC;Jordão - AC;12;1.087.036,13
109;Mâncio Lima;AC;Mâncio Lima - AC;1;1.154.469,62
109;Mâncio Lima;AC;Mâncio Lima - AC;2;1.611.542,25
109;Mâncio Lima;AC;Mâncio Lima - AC;3;976.982,30
109;Mâncio Lima;AC;Mâncio Lima - AC;4;1.158.069,96
109;Mâncio Lima;AC;Mâncio Lima - AC;5;1.288.237,28
109;Mâncio Lima;AC;Mâncio Lima - AC;6;1.205.391,82
109;Mâncio Lima;AC;Mâncio Lima - AC;7;1.769.532,29
109;Mâncio Lima;AC;Mâncio Lima - AC;8;1.178.747,98
109;Mâncio Lima;AC;Mâncio Lima - AC;9;1.112.197,54
109;Mâncio Lima;AC;Mâncio Lima - AC;10;1.032.920,98
109;Mâncio Lima;AC;Mâncio Lima - AC;11;1.298.193,64
109;Mâncio Lima;AC;Mâncio Lima - AC;12;2.174.072,23
155;Manoel Urbano;AC;Manoel Urbano - AC;1;577.234,83
155;Manoel Urbano;AC;Manoel Urbano - AC;2;805.771,15
155;Manoel Urbano;AC;Manoel Urbano - AC;3;488.491,15
155;Manoel Urbano;AC;Manoel Urbano - AC;4;579.035,00
155;Manoel Urbano;AC;Manoel Urbano - AC;5;644.118,65
155;Manoel Urbano;AC;Manoel Urbano - AC;6;602.695,93
155;Manoel Urbano;AC;Manoel Urbano - AC;7;884.766,17
155;Manoel Urbano;AC;Manoel Urbano - AC;8;589.374,00
155;Manoel Urbano;AC;Manoel Urbano - AC;9;556.098,80
155;Manoel Urbano;AC;Manoel Urbano - AC;10;516.460,52
155;Manoel Urbano;AC;Manoel Urbano - AC;11;649.096,85
155;Manoel Urbano;AC;Manoel Urbano - AC;12;1.087.036,13
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;1;1.154.469,62
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;2;1.611.542,25
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;3;976.982,30
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;4;1.158.069,96
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;5;1.288.237,28
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;6;1.205.391,82
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;7;1.769.532,29
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;8;1.178.747,98
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;9;1.112.197,54
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;10;1.032.920,98
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;11;1.298.193,64
655;Marechal Thaumaturgo;AC;Marechal Thaumaturgo - AC;12;2.174.072,23
151;Plácido de Castro;AC;Plácido de Castro - AC;1;1.154.469,62
151;Plácido de Castro;AC;Plácido de Castro - AC;2;1.611.542,25
151;Plácido de Castro;AC;Plácido de Castro - AC;3;976.982,30
151;Plácido de Castro;AC;Plácido de Castro - AC;4;1.158.069,96
151;Plácido de Castro;AC;Plácido de Castro - AC;5;1.288.237,28
151;Plácido de Castro;AC;Plácido de Castro - AC;6;1.205.391,82
151;Plácido de Castro;AC;Plácido de Castro - AC;7;1.769.532,29
151;Plácido de Castro;AC;Plácido de Castro - AC;8;1.178.747,98
151;Plácido de Castro;AC;Plácido de Castro - AC;9;1.112.197,54
151;Plácido de Castro;AC;Plácido de Castro - AC;10;1.032.920,98
151;Plácido de Castro;AC;Plácido de Castro - AC;11;1.298.193,64
151;Plácido de Castro;AC;Plácido de Castro - AC;12;2.174.072,23
649;Porto Acre;AC;Porto Acre - AC;1;1.154.469,62
649;Porto Acre;AC;Porto Acre - AC;2;1.611.542,25
649;Porto Acre;AC;Porto Acre - AC;3;976.982,30
649;Porto Acre;AC;Porto Acre - AC;4;1.158.069,96
649;Porto Acre;AC;Porto Acre - AC;5;1.288.237,28
649;Porto Acre;AC;Porto Acre - AC;6;1.205.391,82
649;Porto Acre;AC;Porto Acre - AC;7;1.769.532,29
649;Porto Acre;AC;Porto Acre - AC;8;1.178.747,98
649;Porto Acre;AC;Porto Acre - AC;9;1.112.197,54
649;Porto Acre;AC;Porto Acre - AC;10;1.032.920,98
649;Porto Acre;AC;Porto Acre - AC;11;1.298.193,64
649;Porto Acre;AC;Porto Acre - AC;12;2.174.072,23
657;Porto Walter;AC;Porto Walter - AC;1;769.646,45
657;Porto Walter;AC;Porto Walter - AC;2;1.074.361,50
657;Porto Walter;AC;Porto Walter - AC;3;651.321,55
657;Porto Walter;AC;Porto Walter - AC;4;772.046,65
657;Porto Walter;AC;Porto Walter - AC;5;858.824,86
657;Porto Walter;AC;Porto Walter - AC;6;803.594,55
657;Porto Walter;AC;Porto Walter - AC;7;1.179.688,20
657;Porto Walter;AC;Porto Walter - AC;8;785.831,99
657;Porto Walter;AC;Porto Walter - AC;9;741.465,03
657;Porto Walter;AC;Porto Walter - AC;10;688.614,01
657;Porto Walter;AC;Porto Walter - AC;11;865.462,43
657;Porto Walter;AC;Porto Walter - AC;12;1.449.381,50
139;Rio Branco;AC;Rio Branco - AC;1;36.545.653,23
139;Rio Branco;AC;Rio Branco - AC;2;51.014.650,26
139;Rio Branco;AC;Rio Branco - AC;3;30.927.150,91
139;Rio Branco;AC;Rio Branco - AC;4;36.659.625,12
139;Rio Branco;AC;Rio Branco - AC;5;40.780.174,62
139;Rio Branco;AC;Rio Branco - AC;6;38.157.635,49
139;Rio Branco;AC;Rio Branco - AC;7;56.015.951,35
139;Rio Branco;AC;Rio Branco - AC;8;37.314.203,71
139;Rio Branco;AC;Rio Branco - AC;9;35.207.496,75
139;Rio Branco;AC;Rio Branco - AC;10;32.697.934,27
139;Rio Branco;AC;Rio Branco - AC;11;41.095.351,25
139;Rio Branco;AC;Rio Branco - AC;12;68.821.984,34
659;Rodrigues Alves;AC;Rodrigues Alves - AC;1;1.154.469,62
659;Rodrigues Alves;AC;Rodrigues Alves - AC;2;1.611.542,25
659;Rodrigues Alves;AC;Rodrigues Alves - AC;3;976.982,30
659;Rodrigues Alves;AC;Rodrigues Alves - AC;4;1.158.069,96
659;Rodrigues Alves;AC;Rodrigues Alves - AC;5;1.288.237,28
659;Rodrigues Alves;AC;Rodrigues Alves - AC;6;1.205.391,82
659;Rodrigues Alves;AC;Rodrigues Alves - AC;7;1.769.532,29
659;Rodrigues Alves;AC;Rodrigues Alves - AC;8;1.178.747,98
659;Rodrigues Alves;AC;Rodrigues Alves - AC;9;1.112.197,54
659;Rodrigues Alves;AC;Rodrigues Alves - AC;10;1.032.920,98
