,ibge_6,ibge_7,municipio_aj,total_max_cras,soma_c1,media_c1,Dez_tot_pes_pob_e_ext_pob,Porte,RMA_media_div_pob_e_ext_pob,faixa,Classe
0,110001,1100015.0,Alta Floresta D´oeste,1.0,14165.0,1180.4,5508,Pequeno II,21.430646332607118,"(20, 25]",5
1,110007,1100072.0,Corumbiara,1.0,4397.0,366.4,1494,Pequeno I,24.524765729585006,"(20, 25]",5
2,110012,1100122.0,Ji-paraná,4.0,54012.0,4501.0,18107,Grande,24.857789805047773,"(20, 25]",5
3,110037,1100379.0,Alto Alegre Dos Parecis,1.0,7344.0,612.0,2449,Pequeno I,24.989791751735403,"(20, 25]",5
4,110160,1101609.0,Theobroma,1.0,5108.0,425.7,2101,Pequeno I,20.26178010471204,"(20, 25]",5
5,170625,1706258.0,Crixás do Tocantins,1.0,1185.0,98.8,448,Pequeno I,22.053571428571427,"(20, 25]",5
6,171370,1713700.0,Monte Santo do Tocantins,1.0,3207.0,267.2,1190,Pequeno I,22.45378151260504,"(20, 25]",5
7,280250,2802502.0,General Maynard,1.0,4044.0,367.6,1695,Pequeno I,21.68731563421829,"(20, 25]",5
8,291540,2915403.0,Itaju do Colônia,1.0,9884.0,823.7,3702,Pequeno I,22.25013506212858,"(20, 25]",5
9,310150,3101508.0,Além Paraíba,3.0,24606.0,2050.5,9286,Pequeno II,22.081628257592072,"(20, 25]",5
10,310380,3103801.0,Arapuá,1.0,1058.0,88.2,421,Pequeno I,20.95011876484561,"(20, 25]",5
11,310440,3104403.0,Argirita,1.0,2328.0,194.0,845,Pequeno I,22.958579881656803,"(20, 25]",5
12,310520,3105202.0,Bandeira,1.0,4640.0,386.7,1556,Pequeno I,24.852185089974295,"(20, 25]",5
13,310550,3105509.0,Barão de Monte Alto,1.0,4645.0,387.1,1827,Pequeno I,21.187739463601535,"(20, 25]",5
14,310640,3106408.0,Belo Vale,1.0,6291.0,571.9,2797,Pequeno I,20.446907400786557,"(20, 25]",5
15,310820,3108206.0,Bonfinópolis de Minas,1.0,2400.0,218.2,1078,Pequeno I,20.241187384044526,"(20, 25]",5
16,310910,3109105.0,Bueno Brandão,1.0,4890.0,407.5,1893,Pequeno I,21.526677231907026,"(20, 25]",5
17,310950,3109501.0,Cabo Verde,1.0,4871.0,405.9,1750,Pequeno I,23.194285714285712,"(20, 25]",5
18,310960,3109600.0,Cachoeira da Prata,1.0,1777.0,148.1,603,Pequeno I,24.560530679933663,"(20, 25]",5
19,310980,3109808.0,Cachoeira Dourada,1.0,884.0,73.7,334,Pequeno I,22.065868263473053,"(20, 25]",5
20,311230,3112307.0,Capelinha,3.0,30312.0,2526.0,11825,Pequeno II,21.3615221987315,"(20, 25]",5
21,311400,3114006.0,Carmo da Mata,1.0,4845.0,403.8,1711,Pequeno I,23.600233781414378,"(20, 25]",5
22,311650,3116506.0,Claro Dos Poções,1.0,7725.0,643.8,3097,Pequeno I,20.78785921859864,"(20, 25]",5
23,311990,3119906.0,Córrego do Bom Jesus,1.0,1625.0,135.4,601,Pequeno I,22.52911813643927,"(20, 25]",5
24,311995,3119955.0,Córrego Fundo,1.0,854.0,71.2,318,Pequeno I,22.38993710691824,"(20, 25]",5
25,312150,3121506.0,Desterro do Melo,1.0,2405.0,200.4,948,Pequeno I,21.139240506329116,"(20, 25]",5
26,312240,3122405.0,Divisa Nova,1.0,3503.0,291.9,1198,Pequeno I,24.36560934891486,"(20, 25]",5
27,312340,3123403.0,Doresópolis,1.0,888.0,74.0,363,Pequeno I,20.385674931129476,"(20, 25]",5
28,312480,3124807.0,Estrela do Sul,1.0,4526.0,377.2,1523,Pequeno I,24.766907419566646,"(20, 25]",5
29,312600,3126000.0,Florestal,1.0,3633.0,302.8,1340,Pequeno I,22.597014925373134,"(20, 25]",5
30,312990,3129905.0,Ibitiúra de Minas,1.0,1816.0,151.3,695,Pequeno I,21.769784172661872,"(20, 25]",5
31,313030,3130309.0,Iguatama,1.0,4957.0,413.1,1883,Pequeno I,21.93839617631439,"(20, 25]",5
32,313140,3131406.0,Ipiaçu,1.0,3053.0,254.4,1170,Pequeno I,21.743589743589745,"(20, 25]",5
33,313440,3134400.0,Iturama,2.0,26735.0,2227.9,11134,Pequeno II,20.009879647925274,"(20, 25]",5
34,313570,3135704.0,Jequitibá,1.0,4165.0,347.1,1718,Pequeno I,20.203725261932483,"(20, 25]",5
35,313840,3138401.0,Leopoldina,3.0,28812.0,2401.0,10606,Médio,22.638129360739203,"(20, 25]",5
36,314467,3144672.0,Nova Belém,1.0,4788.0,399.0,1827,Pequeno I,21.839080459770116,"(20, 25]",5
