ibge_6,ano,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val,Município_UF,repasse_fpm,fpm_bpc,indice_bpc,count,Classe
110001,2022,6201,5040.0,1161.0,6112211.59,1409569.2,7521780.79,Alta Floresta D'Oeste - RO,20970305.48,35.86872302443922,"(30, 40]",559.0,4.0
110002,2022,34260,21807.0,12453.0,26455536.09,15109028.21,41564564.3,Ariquemes - RO,47932126.42,86.71546080763257,"(80, 90]",62.0,9.0
110003,2022,967,771.0,196.0,935681.84,237555.12,1173236.96,Cabixi - RO,8987273.97,13.054425223002298,"(10, 20]",1346.0,2.0
110004,2022,24588,16599.0,7989.0,20129212.23,9687652.99,29816865.22,Cacoal - RO,41940610.7,71.09306403113486,"(70, 80]",95.0,8.0
110005,2022,5171,4090.0,1081.0,4958360.29,1311391.42,6269751.71,Cerejeiras - RO,17974547.67,34.88127670920132,"(30, 40]",559.0,4.0
110006,2022,5202,3867.0,1335.0,4693321.76,1619249.97,6312571.73,Colorado do Oeste - RO,17974547.67,35.1195025649288,"(30, 40]",559.0,4.0
110007,2022,866,695.0,171.0,842350.09,207253.39,1049603.48,Corumbiara - RO,8987273.97,11.678774715265522,"(10, 20]",1346.0,2.0
110008,2022,2986,1686.0,1300.0,2043457.73,1578038.35,3621496.08,Costa Marques - RO,17974547.67,20.14791218387305,"(20, 30]",898.0,3.0
110009,2022,11141,8439.0,2702.0,10234205.42,3277282.22,13511487.64,Espigão D'Oeste - RO,23966063.37,56.377584551133566,"(50, 60]",209.0,6.0
110010,2022,20064,11693.0,8371.0,14179390.23,10160285.92,24339676.15,Guajará-Mirim - RO,29957579.16,81.24713956359616,"(80, 90]",62.0,9.0
110011,2022,20404,15825.0,4579.0,19189990.15,5558349.89,24748340.04,Jaru - RO,32953337.03,75.1011650731143,"(70, 80]",95.0,8.0
110012,2022,49199,28536.0,20663.0,34605431.19,25068060.16,59673491.35,Ji-Paraná - RO,53923642.25,110.6629464555503,"(100, 800]",127.0,11.0
110013,2022,8713,6863.0,1850.0,8327827.9799999995,2245872.64,10573700.62,Machadinho D'Oeste - RO,26961821.32,39.21730840993497,"(30, 40]",559.0,4.0
110014,2022,4328,3826.0,502.0,4638851.87,609642.3,5248494.17,Nova Brasilândia D'Oeste - RO,17974547.67,29.199589699605493,"(20, 30]",898.0,3.0
110015,2022,16205,12624.0,3581.0,15306590.51,4343881.33,19650471.84,Ouro Preto do Oeste - RO,26961821.32,72.8825831414567,"(70, 80]",95.0,8.0
110018,2022,12371,7642.0,4729.0,9276818.29,5736469.1,15013287.39,Pimenta Bueno - RO,26961821.32,55.68350599098177,"(50, 60]",209.0,6.0
110020,2022,193168,108825.0,84343.0,131975234.46000001,102317597.61,234292832.07,Porto Velho - RO,353666468.01,66.24683232999497,"(60, 70]",143.0,7.0
110025,2022,7856,5735.0,2121.0,6954530.15,2573101.56,9527631.71,Presidente Médici - RO,17974547.67,53.006239071606075,"(50, 60]",209.0,6.0
110026,2022,420,277.0,143.0,335732.43,174528.74,510261.17,Rio Crespo - RO,8987273.97,5.677596696209317,"(0, 10]",1724.0,1.0
110028,2022,19148,13592.0,5556.0,16482390.46,6741300.03,23223690.49,Rolim de Moura - RO,32953337.03,70.47447264250553,"(70, 80]",95.0,8.0
110029,2022,1482,1337.0,145.0,1622174.96,175742.52,1797917.48,Santa Luzia D'Oeste - RO,8987273.97,20.005148235177256,"(20, 30]",898.0,3.0
110030,2022,28861,19015.0,9846.0,23063639.29,11939573.51,35003212.8,Vilhena - RO,47932126.42,73.02662204736795,"(70, 80]",95.0,8.0
110032,2022,3757,2866.0,891.0,3476113.2199999997,1082341.68,4558454.9,São Miguel do Guaporé - RO,20970305.48,21.737665692793716,"(20, 30]",898.0,3.0
110033,2022,7798,5600.0,2198.0,6791034.29,2667666.94,9458701.23,Nova Mamoré - RO,23966063.37,39.46706258750913,"(30, 40]",559.0,4.0
110034,2022,3831,2814.0,1017.0,3411820.38,1236257.6,4648077.9799999995,Alvorada D'Oeste - RO,14978789.73,31.031065017827707,"(30, 40]",559.0,4.0
110037,2022,1030,923.0,107.0,1118683.31,129684.79000000001,1248368.1,Alto Alegre dos Parecis - RO,14978789.73,8.334238763628068,"(0, 10]",1724.0,1.0
110040,2022,4761,3286.0,1475.0,3985088.92,1790135.1,5775224.02,Alto Paraíso - RO,17974547.67,32.13001031252098,"(30, 40]",559.0,4.0
110045,2022,11204,7973.0,3231.0,9670536.92,3928155.5,13598692.42,Buritis - RO,26961821.32,50.43684645262682,"(50, 60]",209.0,6.0
110050,2022,1056,920.0,136.0,1116280.3800000001,164835.84,1281116.22,Novo Horizonte do Oeste - RO,8987273.97,14.254780974480516,"(10, 20]",1346.0,2.0
