ibge_6,municipio,UF,ano_mês,igd_m,Ranking,Intervalo,nota do municipio
353770,PIACATU,SP,jul/23,99.2,1.0,95-100,7
432330,VILA FLORES,RS,jul/23,99.13,2.0,95-100,7
431445,PINHAL,RS,jul/23,98.32,3.0,95-100,7
352215,ITAOCA,SP,jul/23,97.92,4.0,95-100,7
411729,NOVO ITACOLOMI,PR,jul/23,97.67,5.0,95-100,7
431262,MULITERNO,RS,jul/23,97.28,6.0,95-100,7
521900,SANCLERLÂNDIA,GO,jul/23,97.0,7.0,95-100,7
316105,SÃO FÉLIX DE MINAS,MG,jul/23,96.63,8.0,95-100,7
316050,SANTO ANTÔNIO DO RIO ABAIXO,MG,jul/23,96.53,9.0,95-100,7
352550,JOANÓPOLIS,SP,jul/23,96.49,10.0,95-100,7
250435,CATURITÉ,PB,jul/23,96.23,11.0,95-100,7
220553,JUREMA,PI,jul/23,96.11,12.0,95-100,7
291740,JACARACI,BA,jul/23,96.07,13.0,95-100,7
291735,JABORANDI,BA,jul/23,96.06,14.0,95-100,7
250650,GURJÃO,PB,jul/23,96.04,15.0,95-100,7
350120,ÁLVARES FLORENCE,SP,jul/23,95.99,16.0,95-100,7
432215,TUNAS,RS,jul/23,95.79,17.0,95-100,7
432163,TRÊS ARROIOS,RS,jul/23,95.77,18.0,95-100,7
352265,ITAPIRAPUÃ PAULISTA,SP,jul/23,95.76,19.0,95-100,7
316480,SÃO SEBASTIÃO DO RIO PRETO,MG,jul/23,95.73,20.0,95-100,7
220935,SANTANA DO PIAUÍ,PI,jul/23,95.66,21.0,95-100,7
411180,JACAREZINHO,PR,jul/23,95.64,22.0,95-100,7
320495,SÃO ROQUE DO CANAÃ,ES,jul/23,95.5,23.0,95-100,7
315220,PORTEIRINHA,MG,jul/23,95.39,24.0,95-100,7
432377,WESTFÁLIA,RS,jul/23,95.38,25.0,95-100,7
291260,IBIQUERA,BA,jul/23,95.38,26.0,95-100,7
311320,CARANDAÍ,MG,jul/23,95.26,27.0,95-100,7
230410,CRATEÚS,CE,jul/23,95.23,28.0,95-100,7
312140,DESTERRO DE ENTRE RIOS,MG,jul/23,95.21,29.0,95-100,7
220415,FRANCISCO MACEDO,PI,jul/23,95.14,30.0,95-100,7
314360,MORRO DA GARÇA,MG,jul/23,95.13,31.0,95-100,7
420075,ALTO BELA VISTA,SC,jul/23,95.12,32.0,95-100,7
410590,COLORADO,PR,jul/23,95.1,33.0,95-100,7
250570,DONA INÊS,PB,jul/23,95.1,34.0,95-100,7
230427,ERERÊ,CE,jul/23,95.05,35.0,95-100,7
352950,MENDONÇA,SP,jul/23,95.05,36.0,95-100,7
411030,INAJÁ,PR,jul/23,94.97,37.0,90-95,6
500110,AQUIDAUANA,MS,jul/23,94.97,38.0,90-95,6
231110,PORTEIRAS,CE,jul/23,94.96,39.0,90-95,6
230510,GUARAMIRANGA,CE,jul/23,94.92,40.0,90-95,6
241210,SÃO JOÃO DO SABUGI,RN,jul/23,94.88,41.0,90-95,6
251470,SÃO JOSÉ DO SABUGI,PB,jul/23,94.88,42.0,90-95,6
230290,CAPISTRANO,CE,jul/23,94.81,43.0,90-95,6
410165,ARAPUÃ,PR,jul/23,94.78,44.0,90-95,6
220557,LAGOA DE SÃO FRANCISCO,PI,jul/23,94.75,45.0,90-95,6
250939,MATURÉIA,PB,jul/23,94.69,46.0,90-95,6
220173,BETÂNIA DO PIAUÍ,PI,jul/23,94.68,47.0,90-95,6
352680,LENÇÓIS PAULISTA,SP,jul/23,94.64,48.0,90-95,6
352160,IRAPURU,SP,jul/23,94.61,49.0,90-95,6
314250,MONJOLOS,MG,jul/23,94.56,50.0,90-95,6
410320,BOM SUCESSO,PR,jul/23,94.51,51.0,90-95,6
430583,COQUEIRO BAIXO,RS,jul/23,94.5,52.0,90-95,6
351580,FLORA RICA,SP,jul/23,94.48,53.0,90-95,6
431235,MONTAURI,RS,jul/23,94.46,54.0,90-95,6
431513,POUSO NOVO,RS,jul/23,94.44,55.0,90-95,6
251203,POÇO DANTAS,PB,jul/23,94.41,56.0,90-95,6
355050,SÃO PEDRO DO TURVO,SP,jul/23,94.35,57.0,90-95,6
316695,SERRANÓPOLIS DE MINAS,MG,jul/23,94.34,58.0,90-95,6
220965,SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI,jul/23,94.34,59.0,90-95,6
521600,PANAMÁ,GO,jul/23,94.22,60.0,90-95,6
241490,VIÇOSA,RN,jul/23,94.21,61.0,90-95,6
350630,BERNARDINO DE CAMPOS,SP,jul/23,94.17,62.0,90-95,6
411170,JABOTI,PR,jul/23,94.13,63.0,90-95,6
420770,IPUMIRIM,SC,jul/23,94.12,64.0,90-95,6
411910,PIÊN,PR,jul/23,94.04,65.0,90-95,6
312590,FERROS,MG,jul/23,94.03,66.0,90-95,6
353100,MONÇÕES,SP,jul/23,94.02,67.0,90-95,6
315310,PRESIDENTE BERNARDES,MG,jul/23,94.0,68.0,90-95,6
420285,BRAÇO DO TROMBUDO,SC,jul/23,93.97,69.0,90-95,6
251590,SERRARIA,PB,jul/23,93.96,70.0,90-95,6
410773,FERNANDES PINHEIRO,PR,jul/23,93.95,71.0,90-95,6
430462,CAPÃO BONITO DO SUL,RS,jul/23,93.95,72.0,90-95,6
221170,WALL FERRAZ,PI,jul/23,93.93,73.0,90-95,6
150560,PEIXE-BOI,PA,jul/23,93.77,74.0,90-95,6
230435,FORQUILHA,CE,jul/23,93.75,75.0,90-95,6
432026,SEGREDO,RS,jul/23,93.72,76.0,90-95,6
230423,CROATÁ,CE,jul/23,93.69,77.0,90-95,6
420005,ABDON BATISTA,SC,jul/23,93.68,78.0,90-95,6
250950,MONTADAS,PB,jul/23,93.68,79.0,90-95,6
230837,MIRAÍMA,CE,jul/23,93.67,80.0,90-95,6
230350,CASCAVEL,CE,jul/23,93.67,81.0,90-95,6
520910,GOIATUBA,GO,jul/23,93.63,82.0,90-95,6
430957,HERVEIRAS,RS,jul/23,93.61,83.0,90-95,6
421315,PLANALTO ALEGRE,SC,jul/23,93.59,84.0,90-95,6
421825,TIMBÓ GRANDE,SC,jul/23,93.57,85.0,90-95,6
313925,MAMONAS,MG,jul/23,93.55,86.0,90-95,6
291140,GLÓRIA,BA,jul/23,93.55,87.0,90-95,6
230533,IBICUITINGA,CE,jul/23,93.55,88.0,90-95,6
292303,NOVO HORIZONTE,BA,jul/23,93.51,89.0,90-95,6
211285,VILA NOVA DOS MARTÍRIOS,MA,jul/23,93.5,90.0,90-95,6
351770,GUARÁ,SP,jul/23,93.48,91.0,90-95,6
520670,DAMIANÓPOLIS,GO,jul/23,93.41,92.0,90-95,6
421625,SÃO JOÃO DO OESTE,SC,jul/23,93.4,93.0,90-95,6
250403,CAPIM,PB,jul/23,93.4,94.0,90-95,6
290300,BARRA DO MENDES,BA,jul/23,93.39,95.0,90-95,6
430511,CENTENÁRIO,RS,jul/23,93.33,96.0,90-95,6
410410,CAMPO DO TENENTE,PR,jul/23,93.32,97.0,90-95,6
432180,TRÊS DE MAIO,RS,jul/23,93.31,98.0,90-95,6
250933,MATINHAS,PB,jul/23,93.31,99.0,90-95,6
221050,SÃO PEDRO DO PIAUÍ,PI,jul/23,93.31,100.0,90-95,6
310550,BARÃO DE MONTE ALTO,MG,jul/23,93.25,101.0,90-95,6
316610,SENHORA DO PORTO,MG,jul/23,93.24,102.0,90-95,6
320150,COLATINA,ES,jul/23,93.24,103.0,90-95,6
231050,PEDRA BRANCA,CE,jul/23,93.22,104.0,90-95,6
292240,MUTUÍPE,BA,jul/23,93.19,105.0,90-95,6
251700,UMBUZEIRO,PB,jul/23,93.17,106.0,90-95,6
350790,BROTAS,SP,jul/23,93.14,107.0,90-95,6
210905,PORTO RICO DO MARANHÃO,MA,jul/23,93.1,108.0,90-95,6
315870,SANTANA DO GARAMBÉU,MG,jul/23,93.1,109.0,90-95,6
352800,MACATUBA,SP,jul/23,93.1,110.0,90-95,6
352130,IPUÃ,SP,jul/23,93.09,111.0,90-95,6
313110,INIMUTABA,MG,jul/23,93.08,112.0,90-95,6
410130,ANTÔNIO OLINTO,PR,jul/23,93.08,113.0,90-95,6
221063,SEBASTIÃO LEAL,PI,jul/23,93.07,114.0,90-95,6
250720,ITATUBA,PB,jul/23,93.07,115.0,90-95,6
230430,FARIAS BRITO,CE,jul/23,93.04,116.0,90-95,6
410080,ALVORADA DO SUL,PR,jul/23,93.04,117.0,90-95,6
411530,MARIÓPOLIS,PR,jul/23,93.02,118.0,90-95,6
171900,SANTA TEREZA DO TOCANTINS,TO,jul/23,93.02,119.0,90-95,6
354300,RIBEIRÃO BRANCO,SP,jul/23,93.0,120.0,90-95,6
