,ibge_6,cl_indice_bf,codigo_ibge,nome,latitude,longitude
0,110001,6,110001,Alta Floresta D'Oeste,-11.9283,-61.9953
1,110002,6,110002,Ariquemes,-9.90571,-63.0325
2,110003,6,110003,Cabixi,-13.4945,-60.552
3,110004,6,110004,Cacoal,-11.4343,-61.4562
4,110005,5,110005,Cerejeiras,-13.187,-60.8168
5,110006,6,110006,Colorado do Oeste,-13.1174,-60.5454
6,110007,6,110007,Corumbiara,-12.9551,-60.8947
7,110008,5,110008,Costa Marques,-12.4367,-64.228
8,110009,6,110009,Espigão D'Oeste,-11.5266,-61.0252
9,110010,5,110010,Guajará-Mirim,-10.7889,-65.3296
10,110011,6,110011,Jaru,-10.4318,-62.4788
11,110012,4,110012,Ji-Paraná,-10.8777,-61.9322
12,110013,6,110013,Machadinho D'Oeste,-9.44363,-61.9818
13,110014,6,110014,Nova Brasilândia D'Oeste,-11.7247,-62.3127
14,110015,5,110015,Ouro Preto do Oeste,-10.7167,-62.2565
15,110018,6,110018,Pimenta Bueno,-11.672,-61.198
16,110020,1,110020,Porto Velho,-8.76077,-63.8999
17,110025,6,110025,Presidente Médici,-11.169,-61.8986
18,110026,6,110026,Rio Crespo,-9.69965,-62.9011
19,110028,6,110028,Rolim de Moura,-11.7271,-61.7714
20,110029,5,110029,Santa Luzia D'Oeste,-11.9074,-61.7777
21,110030,6,110030,Vilhena,-12.7502,-60.1488
22,110032,6,110032,São Miguel do Guaporé,-11.6953,-62.7192
23,110033,5,110033,Nova Mamoré,-10.4077,-65.3346
24,110034,6,110034,Alvorada D'Oeste,-11.3463,-62.2847
25,110037,6,110037,Alto Alegre dos Parecis,-12.132,-61.835
26,110040,6,110040,Alto Paraíso,-9.71429,-63.3188
27,110045,6,110045,Buritis,-10.1943,-63.8324
28,110050,6,110050,Novo Horizonte do Oeste,-11.6961,-61.9951
29,110060,6,110060,Cacaulândia,-10.349,-62.9043
30,110070,6,110070,Campo Novo de Rondônia,-10.5712,-63.6266
31,110080,2,110080,Candeias do Jamari,-8.7907,-63.7005
32,110090,6,110090,Castanheiras,-11.4253,-61.9482
33,110092,5,110092,Chupinguaia,-12.5611,-60.8877
34,110094,6,110094,Cujubim,-9.36065,-62.5846
35,110100,6,110100,Governador Jorge Teixeira,-10.61,-62.7371
36,110110,6,110110,Itapuã do Oeste,-9.19687,-63.1809
37,110120,6,110120,Ministro Andreazza,-11.196,-61.5174
38,110130,5,110130,Mirante da Serra,-11.029,-62.6696
39,110140,5,110140,Monte Negro,-10.2458,-63.29
40,110143,4,110143,Nova União,-10.9068,-62.5564
41,110145,6,110145,Parecis,-12.1754,-61.6032
42,110146,6,110146,Pimenteiras do Oeste,-13.4823,-61.0471
43,110147,4,110147,Primavera de Rondônia,-11.8295,-61.3153
44,110148,6,110148,São Felipe D'Oeste,-11.9023,-61.5026
45,110149,5,110149,São Francisco do Guaporé,-12.052,-63.568
46,110150,6,110150,Seringueiras,-11.8055,-63.0182
47,110155,6,110155,Teixeirópolis,-10.9056,-62.242
48,110160,6,110160,Theobroma,-10.2483,-62.3538
49,110170,6,110170,Urupá,-11.1261,-62.3639
50,110175,5,110175,Vale do Anari,-9.86215,-62.1876
51,110180,6,110180,Vale do Paraíso,-10.4465,-62.1352
52,120001,4,120001,Acrelândia,-9.82581,-66.8972
53,120005,5,120005,Assis Brasil,-10.9298,-69.5738
54,120010,3,120010,Brasiléia,-10.995,-68.7497
55,120013,6,120013,Bujari,-9.81528,-67.955
56,120017,4,120017,Capixaba,-10.566,-67.686
57,120020,5,120020,Cruzeiro do Sul,-7.62762,-72.6756
