Ano,UF,ibge_7,municipio,pib_pc
2020,RO,1100015,Alta Floresta D'Oeste,25091.18
2020,RO,1100023,Ariquemes,25730.2
2020,RO,1100031,Cabixi,32226.25
2020,RO,1100049,Cacoal,29331.29
2020,RO,1100056,Cerejeiras,37069.25
2020,RO,1100064,Colorado do Oeste,23605.94
2020,RO,1100072,Corumbiara,37171.83
2020,RO,1100080,Costa Marques,13936.5
2020,RO,1100098,Espigão D'Oeste,20380.2
2020,RO,1100106,Guajará-Mirim,21148.43
2020,RO,1100114,Jaru,32256.26
2020,RO,1100122,Ji-Paraná,31210.35
2020,RO,1100130,Machadinho D'Oeste,17136.5
2020,RO,1100148,Nova Brasilândia D'Oeste,19687.14
2020,RO,1100155,Ouro Preto do Oeste,24769.65
2020,RO,1100189,Pimenta Bueno,36909.05
2020,RO,1100205,Porto Velho,36059.36
2020,RO,1100254,Presidente Médici,24996.99
2020,RO,1100262,Rio Crespo,35115.8
2020,RO,1100288,Rolim de Moura,25229.33
2020,RO,1100296,Santa Luzia D'Oeste,25223.38
2020,RO,1100304,Vilhena,30847.95
2020,RO,1100320,São Miguel do Guaporé,31663.33
2020,RO,1100338,Nova Mamoré,19173.98
2020,RO,1100346,Alvorada D'Oeste,20525.54
2020,RO,1100379,Alto Alegre dos Parecis,24484.67
2020,RO,1100403,Alto Paraíso,18143.32
2020,RO,1100452,Buritis,19368.23
2020,RO,1100502,Novo Horizonte do Oeste,22223.57
2020,RO,1100601,Cacaulândia,26984.16
2020,RO,1100700,Campo Novo de Rondônia,23267.45
2020,RO,1100809,Candeias do Jamari,20560.09
2020,RO,1100908,Castanheiras,26921.8
2020,RO,1100924,Chupinguaia,32677.85
2020,RO,1100940,Cujubim,16493.48
2020,RO,1101005,Governador Jorge Teixeira,26942.95
2020,RO,1101104,Itapuã do Oeste,18116.96
2020,RO,1101203,Ministro Andreazza,23529.88
2020,RO,1101302,Mirante da Serra,21417.31
2020,RO,1101401,Monte Negro,21300.12
2020,RO,1101435,Nova União,18685.84
2020,RO,1101450,Parecis,19495.63
2020,RO,1101468,Pimenteiras do Oeste,69296.61
2020,RO,1101476,Primavera de Rondônia,23949.2
2020,RO,1101484,São Felipe D'Oeste,20192.81
2020,RO,1101492,São Francisco do Guaporé,19234.6
2020,RO,1101500,Seringueiras,21146.51
2020,RO,1101559,Teixeirópolis,23001.25
2020,RO,1101609,Theobroma,20493.15
2020,RO,1101708,Urupá,20209.46
2020,RO,1101757,Vale do Anari,15885.58
2020,RO,1101807,Vale do Paraíso,24228.97
2020,AC,1200013,Acrelândia,19525.15
2020,AC,1200054,Assis Brasil,12864.39
2020,AC,1200104,Brasiléia,17981.49
2020,AC,1200138,Bujari,17640.84
2020,AC,1200179,Capixaba,12101.74
2020,AC,1200203,Cruzeiro do Sul,17024.21
2020,AC,1200252,Epitaciolândia,23156.18
2020,AC,1200302,Feijó,11263.93
2020,AC,1200328,Jordão,10020.96
2020,AC,1200336,Mâncio Lima,11955.02
2020,AC,1200344,Manoel Urbano,14342.93
2020,AC,1200351,Marechal Thaumaturgo,11116.99
2020,AC,1200385,Plácido de Castro,13377.82
2020,AC,1200393,Porto Walter,10640.19
2020,AC,1200401,Rio Branco,23171.69
2020,AC,1200427,Rodrigues Alves,10474.43
2020,AC,1200435,Santa Rosa do Purus,12525.97
2020,AC,1200450,Senador Guiomard,15389.06
2020,AC,1200500,Sena Madureira,12490.26
2020,AC,1200609,Tarauacá,12046.86
2020,AC,1200708,Xapuri,14903.31
2020,AC,1200807,Porto Acre,12948.19
2020,AM,1300029,Alvarães,11995.57
2020,AM,1300060,Amaturá,8689.3
