,ibge_6,bpc_val,Município_UF,repasse_fpm,fpm_bpc,indice_bpc,count,Classe,latitude,longitude
0,110001,7521780.79,Alta Floresta D'Oeste - RO,20970305.48,35.86872302443922,"(30, 40]",559.0,4.0,-11.9283,-61.9953
1,110002,41564564.3,Ariquemes - RO,47932126.42,86.71546080763257,"(80, 90]",62.0,9.0,-9.90571,-63.0325
2,110003,1173236.96,Cabixi - RO,8987273.97,13.054425223002298,"(10, 20]",1346.0,2.0,-13.4945,-60.552
3,110004,29816865.22,Cacoal - RO,41940610.7,71.09306403113486,"(70, 80]",95.0,8.0,-11.4343,-61.4562
4,110005,6269751.71,Cerejeiras - RO,17974547.67,34.88127670920132,"(30, 40]",559.0,4.0,-13.187,-60.8168
5,110006,6312571.73,Colorado do Oeste - RO,17974547.67,35.1195025649288,"(30, 40]",559.0,4.0,-13.1174,-60.5454
6,110007,1049603.48,Corumbiara - RO,8987273.97,11.678774715265522,"(10, 20]",1346.0,2.0,-12.9551,-60.8947
7,110008,3621496.08,Costa Marques - RO,17974547.67,20.14791218387305,"(20, 30]",898.0,3.0,-12.4367,-64.228
8,110009,13511487.64,Espigão D'Oeste - RO,23966063.37,56.377584551133566,"(50, 60]",209.0,6.0,-11.5266,-61.0252
9,110010,24339676.15,Guajará-Mirim - RO,29957579.16,81.24713956359616,"(80, 90]",62.0,9.0,-10.7889,-65.3296
10,110011,24748340.04,Jaru - RO,32953337.03,75.1011650731143,"(70, 80]",95.0,8.0,-10.4318,-62.4788
11,110012,59673491.35,Ji-Paraná - RO,53923642.25,110.6629464555503,"(100, 800]",127.0,11.0,-10.8777,-61.9322
12,110013,10573700.62,Machadinho D'Oeste - RO,26961821.32,39.21730840993497,"(30, 40]",559.0,4.0,-9.44363,-61.9818
13,110014,5248494.17,Nova Brasilândia D'Oeste - RO,17974547.67,29.199589699605493,"(20, 30]",898.0,3.0,-11.7247,-62.3127
14,110015,19650471.84,Ouro Preto do Oeste - RO,26961821.32,72.8825831414567,"(70, 80]",95.0,8.0,-10.7167,-62.2565
15,110018,15013287.39,Pimenta Bueno - RO,26961821.32,55.68350599098177,"(50, 60]",209.0,6.0,-11.672,-61.198
16,110020,234292832.07,Porto Velho - RO,353666468.01,66.24683232999497,"(60, 70]",143.0,7.0,-8.76077,-63.8999
17,110025,9527631.71,Presidente Médici - RO,17974547.67,53.006239071606075,"(50, 60]",209.0,6.0,-11.169,-61.8986
18,110026,510261.17,Rio Crespo - RO,8987273.97,5.677596696209317,"(0, 10]",1724.0,1.0,-9.69965,-62.9011
19,110028,23223690.49,Rolim de Moura - RO,32953337.03,70.47447264250553,"(70, 80]",95.0,8.0,-11.7271,-61.7714
20,110029,1797917.48,Santa Luzia D'Oeste - RO,8987273.97,20.005148235177256,"(20, 30]",898.0,3.0,-11.9074,-61.7777
21,110030,35003212.8,Vilhena - RO,47932126.42,73.02662204736795,"(70, 80]",95.0,8.0,-12.7502,-60.1488
22,110032,4558454.9,São Miguel do Guaporé - RO,20970305.48,21.737665692793716,"(20, 30]",898.0,3.0,-11.6953,-62.7192
23,110033,9458701.23,Nova Mamoré - RO,23966063.37,39.46706258750913,"(30, 40]",559.0,4.0,-10.4077,-65.3346
24,110034,4648077.9799999995,Alvorada D'Oeste - RO,14978789.73,31.031065017827707,"(30, 40]",559.0,4.0,-11.3463,-62.2847
25,110037,1248368.1,Alto Alegre dos Parecis - RO,14978789.73,8.334238763628068,"(0, 10]",1724.0,1.0,-12.132,-61.835
26,110040,5775224.02,Alto Paraíso - RO,17974547.67,32.13001031252098,"(30, 40]",559.0,4.0,-9.71429,-63.3188
27,110045,13598692.42,Buritis - RO,26961821.32,50.43684645262682,"(50, 60]",209.0,6.0,-10.1943,-63.8324
28,110050,1281116.22,Novo Horizonte do Oeste - RO,8987273.97,14.254780974480516,"(10, 20]",1346.0,2.0,-11.6961,-61.9951
29,110060,898117.5,Cacaulândia - RO,8987273.97,9.993213770916121,"(0, 10]",1724.0,1.0,-10.349,-62.9043
30,110070,1576823.65,Campo Novo de Rondônia - RO,14978789.73,10.527043095089898,"(10, 20]",1346.0,2.0,-10.5712,-63.6266
31,110080,7638077.53,Candeias do Jamari - RO,20970305.48,36.423301211728464,"(30, 40]",559.0,4.0,-8.7907,-63.7005
32,110090,379356.2,Castanheiras - RO,8987273.97,4.221037449913191,"(0, 10]",1724.0,1.0,-11.4253,-61.9482
33,110092,1622881.23,Chupinguaia - RO,11983031.9,13.543160391653467,"(10, 20]",1346.0,2.0,-12.5611,-60.8877
34,110094,2853155.53,Cujubim - RO,20970305.48,13.605693692546057,"(10, 20]",1346.0,2.0,-9.36065,-62.5846
35,110100,700544.95,Governador Jorge Teixeira - RO,8987273.97,7.7948547283465075,"(0, 10]",1724.0,1.0,-10.61,-62.7371
36,110110,1574414.63,Itapuã do Oeste - RO,11983031.9,13.138700148165338,"(10, 20]",1346.0,2.0,-9.19687,-63.1809
37,110120,945380.24,Ministro Andreazza - RO,11983031.9,7.889324236881986,"(0, 10]",1724.0,1.0,-11.196,-61.5174
38,110130,3931825.6999999997,Mirante da Serra - RO,11983031.9,32.811610056716944,"(30, 40]",559.0,4.0,-11.029,-62.6696
39,110140,3606943.73,Monte Negro - RO,14978789.73,24.08034156975912,"(20, 30]",898.0,3.0,-10.2458,-63.29
40,110143,775682.12,Nova União - RO,8987273.97,8.630894335582383,"(0, 10]",1724.0,1.0,-10.9068,-62.5564
41,110145,575708.54,Parecis - RO,8987273.97,6.4058194055477315,"(0, 10]",1724.0,1.0,-12.1754,-61.6032
42,110146,364813.7,Pimenteiras do Oeste - RO,8987273.97,4.05922531367985,"(0, 10]",1724.0,1.0,-13.4823,-61.0471
43,110147,550259.75,Primavera de Rondônia - RO,8987273.97,6.12265467634342,"(0, 10]",1724.0,1.0,-11.8295,-61.3153
44,110148,504196.38,São Felipe D'Oeste - RO,8987273.97,5.610114720915757,"(0, 10]",1724.0,1.0,-11.9023,-61.5026
45,110149,4465024.32,São Francisco do Guaporé - RO,17974547.67,24.840816035956472,"(20, 30]",898.0,3.0,-12.052,-63.568
46,110150,2003443.17,Seringueiras - RO,11983031.9,16.719000556111343,"(10, 20]",1346.0,2.0,-11.8055,-63.0182
47,110155,155136.87,Teixeirópolis - RO,8987273.97,1.7261838296891263,"(0, 10]",1724.0,1.0,-10.9056,-62.242
48,110160,935675.85,Theobroma - RO,11983031.9,7.808339807557384,"(0, 10]",1724.0,1.0,-10.2483,-62.3538
49,110170,3143975.64,Urupá - RO,11983031.9,26.236896189853255,"(20, 30]",898.0,3.0,-11.1261,-62.3639
50,110175,929609.21,Vale do Anari - RO,11983031.59,7.757713088028336,"(0, 10]",1724.0,1.0,-9.86215,-62.1876
51,110180,1307756.11,Vale do Paraíso - RO,8987273.97,14.551198888176323,"(10, 20]",1346.0,2.0,-10.4465,-62.1352
52,120001,2967048.29,Acrelândia - AC,13300298.39,22.308133268880745,"(20, 30]",898.0,3.0,-9.82581,-66.8972
53,120005,3027611.12,Assis Brasil - AC,7980179.18,37.93913710092911,"(30, 40]",559.0,4.0,-10.9298,-69.5738
54,120010,16781511.68,Brasiléia - AC,18620417.6,90.12424984496587,"(90, 100]",51.0,10.0,-10.995,-68.7497
55,120013,2328268.26,Bujari - AC,10640238.72,21.881729548263365,"(20, 30]",898.0,3.0,-9.81528,-67.955
56,120017,1759833.49,Capixaba - AC,10640238.72,16.539417359989457,"(10, 20]",1346.0,2.0,-10.566,-67.686
57,120020,49859313.17,Cruzeiro do Sul - AC,37240834.9,133.88344623283405,"(100, 800]",127.0,11.0,-7.62762,-72.6756
58,120025,8271022.62,Epitaciolândia - AC,15960357.89,51.82228792740437,"(50, 60]",209.0,6.0,-11.0188,-68.7341
59,120030,16029485.51,Feijó - AC,21280477.17,75.32484061305472,"(70, 80]",95.0,8.0,-8.17054,-70.351
60,120032,627829.73,Jordão - AC,7980179.18,7.867363825281928,"(0, 10]",1724.0,1.0,-9.1908,-71.9503
61,120033,3237368.45,Mâncio Lima - AC,15960357.89,20.283808623291467,"(20, 30]",898.0,3.0,-7.61657,-72.8997
62,120034,2551960.06,Manoel Urbano - AC,7980179.18,31.97873133470169,"(30, 40]",559.0,4.0,-8.83291,-69.2679
63,120035,660545.55,Marechal Thaumaturgo - AC,15960357.89,4.138663772783356,"(0, 10]",1724.0,1.0,-8.93898,-72.7997
64,120038,5846811.01,Plácido de Castro - AC,15960357.89,36.6333327253478,"(30, 40]",559.0,4.0,-10.2806,-67.1371
65,120039,439975.28,Porto Walter - AC,10640238.72,4.135013241507424,"(0, 10]",1724.0,1.0,-8.26323,-72.7537
66,120040,208678611.74,Rio Branco - AC,505237811.3,41.30304721316491,"(40, 50]",355.0,5.0,-9.97499,-67.8243
67,120042,652076.3300000001,Rodrigues Alves - AC,15960357.89,4.085599674481986,"(0, 10]",1724.0,1.0,-7.73864,-72.661
