Código;Unidade Territorial;UF;Referência;TAFE - Taxa de Acompanhamento de Frequência Escolar;TAAS - Taxa de Acompanhamene Agenda de Saúde;TAC - Taxa de Atualização Cadastral;Fator 1: Operação (  (TAFE+TAAS) / 2 +  TAC / 2)
120001;ACRELÂNDIA;AC;jul/23;67,55;94,46;83,01;82
120005;ASSIS BRASIL;AC;jul/23;62,2;74,33;89,93;79,09
120010;BRASILÉIA;AC;jul/23;55,69;84,09;85,07;77,48
120013;BUJARI;AC;jul/23;73,72;83,85;92,11;85,44
120017;CAPIXABA;AC;jul/23;72,2;80,24;88,61;82,41
120020;CRUZEIRO DO SUL;AC;jul/23;74,95;79,76;85,45;81,4
120025;EPITACIOLÂNDIA;AC;jul/23;58,25;95,2;84,78;80,75
120030;FEIJÓ;AC;jul/23;63,22;70,57;81,88;74,38
120032;JORDÃO;AC;jul/23;49,79;71,34;84,92;72,74
120033;MÂNCIO LIMA;AC;jul/23;82,45;78,28;86,47;83,41
120034;MANOEL URBANO;AC;jul/23;81,09;76,62;92,72;85,78
120035;MARECHAL THAUMATURGO;AC;jul/23;73,03;89,1;93,1;87,08
120038;PLÁCIDO DE CASTRO;AC;jul/23;90,81;80,92;91,26;88,56
120039;PORTO WALTER;AC;jul/23;71,98;87,72;91,02;85,43
120040;RIO BRANCO;AC;jul/23;56,95;68,74;89,76;76,3
120042;RODRIGUES ALVES;AC;jul/23;74,19;77,68;94,09;85,01
120043;SANTA ROSA DO PURUS;AC;jul/23;45,57;80,05;85,68;74,24
120045;SENADOR GUIOMARD;AC;jul/23;64,55;66,41;87,49;76,48
120050;SENA MADUREIRA;AC;jul/23;59,92;77,39;90,15;79,4
120060;TARAUACÁ;AC;jul/23;62,18;75,97;89,71;79,39
120070;XAPURI;AC;jul/23;84,72;84,22;92,83;88,65
120080;PORTO ACRE;AC;jul/23;61,38;80,94;92,56;81,86
270010;ÁGUA BRANCA;AL;jul/23;58,22;82,74;85,7;78,09
270020;ANADIA;AL;jul/23;63,92;87,33;87,58;81,6
270030;ARAPIRACA;AL;jul/23;42,04;73,82;85,73;71,83
270040;ATALAIA;AL;jul/23;68,18;79,08;77,12;75,37
270050;BARRA DE SANTO ANTÔNIO;AL;jul/23;56,69;80,68;82,61;75,64
270060;BARRA DE SÃO MIGUEL;AL;jul/23;70,88;86,41;82,56;80,6
270070;BATALHA;AL;jul/23;48,2;87,26;94,34;81,03
270080;BELÉM;AL;jul/23;93,28;94,01;83,3;88,47
270090;BELO MONTE;AL;jul/23;69,98;93,32;84,38;83,01
270100;BOCA DA MATA;AL;jul/23;73,6;90,01;90,26;86,03
270110;BRANQUINHA;AL;jul/23;87,95;93,18;82,38;86,47
270120;CACIMBINHAS;AL;jul/23;92,43;84,28;83,29;85,82
270130;CAJUEIRO;AL;jul/23;79,94;77,6;85,14;81,95
270135;CAMPESTRE;AL;jul/23;87,59;83,96;91,94;88,85
